"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","1.0975","1.0984","1.1043","1.0936","-0.12"
"Nov 28, 2013","1.0988","1.1011","1.1024","1.0924","-0.24"
"Nov 27, 2013","1.1014","1.0957","1.1033","1.0939","0.54"
"Nov 26, 2013","1.0955","1.0915","1.1004","1.0859","0.36"
"Nov 25, 2013","1.0916","1.0904","1.0967","1.0880","0.11"
"Nov 22, 2013","1.0904","1.0828","1.0942","1.0807","0.69"
"Nov 21, 2013","1.0829","1.0710","1.0873","1.0707","1.08"
"Nov 20, 2013","1.0713","1.0595","1.0734","1.0581","1.07"
"Nov 19, 2013","1.0600","1.0661","1.0694","1.0581","-0.61"
"Nov 18, 2013","1.0665","1.0675","1.0686","1.0612","-0.07"
"Nov 15, 2013","1.0672","1.0731","1.0749","1.0662","-0.56"
"Nov 14, 2013","1.0732","1.0684","1.0776","1.0651","0.46"
"Nov 13, 2013","1.0683","1.0747","1.0780","1.0667","-0.63"
"Nov 12, 2013","1.0751","1.0684","1.0783","1.0670","0.62"
"Nov 11, 2013","1.0685","1.0648","1.0702","1.0642","0.28"
"Nov 08, 2013","1.0655","1.0575","1.0694","1.0544","0.75"
"Nov 07, 2013","1.0576","1.0493","1.0596","1.0490","0.74"
"Nov 06, 2013","1.0498","1.0517","1.0547","1.0474","-0.19"
"Nov 05, 2013","1.0518","1.0513","1.0570","1.0480","0.04"
"Nov 04, 2013","1.0514","1.0590","1.0609","1.0504","-0.77"
"Nov 01, 2013","1.0596","1.0571","1.0614","1.0533","0.23"
"Oct 31, 2013","1.0572","1.0540","1.0581","1.0493","0.26"
"Oct 30, 2013","1.0545","1.0546","1.0596","1.0504","-0.05"
"Oct 29, 2013","1.0550","1.0444","1.0562","1.0438","0.98"
"Oct 28, 2013","1.0448","1.0431","1.0468","1.0387","0.13"
"Oct 25, 2013","1.0434","1.0391","1.0452","1.0385","0.39"
"Oct 24, 2013","1.0393","1.0386","1.0446","1.0336","0.06"
"Oct 23, 2013","1.0387","1.0300","1.0410","1.0247","0.83"
"Oct 22, 2013","1.0301","1.0349","1.0370","1.0273","-0.57"
"Oct 21, 2013","1.0360","1.0337","1.0374","1.0325","0.25"
"Oct 18, 2013","1.0334","1.0378","1.0412","1.0328","-0.41"
"Oct 17, 2013","1.0377","1.0469","1.0501","1.0362","-0.88"
"Oct 16, 2013","1.0469","1.0494","1.0528","1.0458","-0.27"
"Oct 15, 2013","1.0497","1.0537","1.0553","1.0469","-0.41"
"Oct 14, 2013","1.0540","1.0589","1.0622","1.0515","-0.21"
"Oct 11, 2013","1.0562","1.0578","1.0604","1.0539","-0.17"
"Oct 10, 2013","1.0580","1.0583","1.0651","1.0554","-0.08"
"Oct 09, 2013","1.0589","1.0607","1.0627","1.0561","-0.22"
"Oct 08, 2013","1.0612","1.0604","1.0631","1.0539","0.07"
"Oct 07, 2013","1.0605","1.0581","1.0654","1.0576","0.05"
"Oct 04, 2013","1.0600","1.0639","1.0654","1.0567","-0.41"
"Oct 03, 2013","1.0644","1.0652","1.0677","1.0617","-0.10"
"Oct 02, 2013","1.0655","1.0636","1.0715","1.0619","0.14"
"Oct 01, 2013","1.0640","1.0730","1.0765","1.0593","-0.87"
"Sep 30, 2013","1.0733","1.0731","1.0780","1.0684","-0.02"
"Sep 27, 2013","1.0735","1.0678","1.0757","1.0663","0.53"
"Sep 26, 2013","1.0678","1.0675","1.0711","1.0632","0.02"
"Sep 25, 2013","1.0676","1.0646","1.0709","1.0643","0.28"
"Sep 24, 2013","1.0646","1.0599","1.0680","1.0597","0.41"
"Sep 23, 2013","1.0603","1.0669","1.0695","1.0571","-0.39"
"Sep 20, 2013","1.0645","1.0593","1.0663","1.0567","0.46"
"Sep 19, 2013","1.0596","1.0503","1.0608","1.0494","0.87"
"Sep 18, 2013","1.0505","1.0686","1.0713","1.0490","-1.72"
"Sep 17, 2013","1.0689","1.0725","1.0771","1.0672","-0.39"
"Sep 16, 2013","1.0731","1.0792","1.0799","1.0647","-0.79"
"Sep 13, 2013","1.0816","1.0781","1.0844","1.0777","0.27"
"Sep 12, 2013","1.0787","1.0718","1.0839","1.0687","0.63"
"Sep 11, 2013","1.0719","1.0738","1.0780","1.0702","-0.20"
"Sep 10, 2013","1.0741","1.0834","1.0850","1.0724","-0.89"
"Sep 09, 2013","1.0837","1.0866","1.0909","1.0817","-0.45"
"Sep 06, 2013","1.0886","1.0960","1.0973","1.0846","-0.71"
"Sep 05, 2013","1.0964","1.0900","1.0972","1.0880","0.55"
"Sep 04, 2013","1.0904","1.1029","1.1069","1.0881","-1.20"
"Sep 03, 2013","1.1036","1.1136","1.1146","1.1018","-0.92"
"Sep 02, 2013","1.1139","1.1184","1.1210","1.1089","-0.87"
"Aug 30, 2013","1.1237","1.1196","1.1250","1.1158","0.36"
"Aug 29, 2013","1.1197","1.1183","1.1214","1.1135","0.11"
"Aug 28, 2013","1.1185","1.1127","1.1247","1.1120","0.49"
"Aug 27, 2013","1.1130","1.1069","1.1196","1.1060","0.51"
"Aug 26, 2013","1.1074","1.1057","1.1107","1.1020","-0.05"
"Aug 23, 2013","1.1080","1.1094","1.1152","1.1045","-0.19"
"Aug 22, 2013","1.1101","1.1147","1.1196","1.1053","-0.41"
"Aug 21, 2013","1.1147","1.1017","1.1153","1.1014","1.13"
"Aug 20, 2013","1.1022","1.0977","1.1079","1.0945","0.41"
"Aug 19, 2013","1.0977","1.0893","1.0985","1.0826","0.82"
"Aug 16, 2013","1.0888","1.0935","1.0961","1.0847","-0.48"
"Aug 15, 2013","1.0940","1.0961","1.1044","1.0878","-0.21"
"Aug 14, 2013","1.0963","1.0966","1.1014","1.0913","-0.06"
"Aug 13, 2013","1.0970","1.0925","1.1021","1.0924","0.37"
"Aug 12, 2013","1.0930","1.0881","1.0947","1.0841","0.48"
"Aug 09, 2013","1.0878","1.0979","1.1008","1.0846","-0.97"
"Aug 08, 2013","1.0984","1.1109","1.1131","1.0943","-1.14"
"Aug 07, 2013","1.1111","1.1125","1.1214","1.1077","-0.14"
"Aug 06, 2013","1.1127","1.1196","1.1228","1.1099","-0.63"
"Aug 05, 2013","1.1197","1.1237","1.1300","1.1186","-0.33"
"Aug 02, 2013","1.1234","1.1203","1.1275","1.1145","0.27"
"Aug 01, 2013","1.1204","1.1125","1.1229","1.1117","0.64"
"Jul 31, 2013","1.1133","1.1034","1.1186","1.1014","0.89"
"Jul 30, 2013","1.1035","1.0859","1.1057","1.0851","1.58"
"Jul 29, 2013","1.0863","1.0794","1.0886","1.0764","0.62"
"Jul 26, 2013","1.0796","1.0812","1.0840","1.0754","-0.17"
