"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","1.0615","1.0578","1.0628","1.0555","0.32"
"Nov 28, 2013","1.0581","1.0593","1.0597","1.0565","-0.13"
"Nov 27, 2013","1.0595","1.0540","1.0602","1.0527","0.51"
"Nov 26, 2013","1.0541","1.0542","1.0558","1.0517","-0.04"
"Nov 25, 2013","1.0545","1.0515","1.0582","1.0509","0.29"
"Nov 22, 2013","1.0514","1.0516","1.0568","1.0509","-0.03"
"Nov 21, 2013","1.0517","1.0452","1.0526","1.0442","0.60"
"Nov 20, 2013","1.0454","1.0469","1.0474","1.0432","-0.15"
"Nov 19, 2013","1.0470","1.0426","1.0485","1.0412","0.39"
"Nov 18, 2013","1.0429","1.0436","1.0444","1.0412","-0.10"
"Nov 15, 2013","1.0439","1.0463","1.0484","1.0432","-0.21"
"Nov 14, 2013","1.0461","1.0453","1.0525","1.0437","0.06"
"Nov 13, 2013","1.0455","1.0492","1.0496","1.0448","-0.38"
"Nov 12, 2013","1.0495","1.0475","1.0508","1.0461","0.18"
"Nov 11, 2013","1.0476","1.0478","1.0486","1.0462","-0.03"
"Nov 08, 2013","1.0479","1.0460","1.0503","1.0441","0.19"
"Nov 07, 2013","1.0459","1.0417","1.0463","1.0400","0.38"
"Nov 06, 2013","1.0419","1.0453","1.0459","1.0408","-0.33"
"Nov 05, 2013","1.0454","1.0422","1.0462","1.0413","0.31"
"Nov 04, 2013","1.0422","1.0422","1.0428","1.0394","0.01"
"Nov 01, 2013","1.0421","1.0430","1.0453","1.0407","-0.10"
"Oct 31, 2013","1.0431","1.0478","1.0489","1.0407","-0.46"
"Oct 30, 2013","1.0479","1.0467","1.0496","1.0438","0.09"
"Oct 29, 2013","1.0470","1.0444","1.0471","1.0425","0.24"
"Oct 28, 2013","1.0445","1.0449","1.0451","1.0426","-0.04"
"Oct 25, 2013","1.0449","1.0420","1.0461","1.0406","0.27"
"Oct 24, 2013","1.0421","1.0381","1.0437","1.0363","0.38"
"Oct 23, 2013","1.0382","1.0284","1.0397","1.0278","0.93"
"Oct 22, 2013","1.0286","1.0300","1.0309","1.0267","-0.16"
"Oct 21, 2013","1.0302","1.0289","1.0304","1.0281","0.15"
"Oct 18, 2013","1.0287","1.0288","1.0301","1.0273","-0.03"
"Oct 17, 2013","1.0290","1.0324","1.0332","1.0277","-0.37"
"Oct 16, 2013","1.0328","1.0380","1.0384","1.0321","-0.51"
"Oct 15, 2013","1.0381","1.0353","1.0391","1.0327","0.25"
"Oct 14, 2013","1.0355","1.0348","1.0374","1.0339","0.05"
"Oct 11, 2013","1.0350","1.0398","1.0412","1.0338","-0.47"
"Oct 10, 2013","1.0399","1.0392","1.0419","1.0367","0.06"
"Oct 09, 2013","1.0393","1.0365","1.0407","1.0349","0.24"
"Oct 08, 2013","1.0368","1.0312","1.0373","1.0303","0.53"
"Oct 07, 2013","1.0313","1.0288","1.0333","1.0285","0.17"
"Oct 04, 2013","1.0295","1.0332","1.0340","1.0286","-0.37"
"Oct 03, 2013","1.0333","1.0335","1.0339","1.0309","-0.03"
"Oct 02, 2013","1.0336","1.0321","1.0356","1.0318","0.12"
"Oct 01, 2013","1.0324","1.0308","1.0336","1.0284","0.14"
"Sep 30, 2013","1.0310","1.0302","1.0318","1.0272","0.03"
"Sep 27, 2013","1.0307","1.0308","1.0332","1.0294","-0.03"
"Sep 26, 2013","1.0310","1.0311","1.0340","1.0299","-0.03"
"Sep 25, 2013","1.0313","1.0298","1.0319","1.0282","0.13"
"Sep 24, 2013","1.0300","1.0281","1.0310","1.0269","0.15"
"Sep 23, 2013","1.0285","1.0295","1.0315","1.0270","-0.19"
"Sep 20, 2013","1.0305","1.0263","1.0310","1.0259","0.40"
"Sep 19, 2013","1.0264","1.0221","1.0267","1.0179","0.43"
"Sep 18, 2013","1.0220","1.0294","1.0317","1.0199","-0.74"
"Sep 17, 2013","1.0296","1.0321","1.0333","1.0273","-0.27"
"Sep 16, 2013","1.0324","1.0351","1.0357","1.0279","-0.27"
"Sep 13, 2013","1.0352","1.0322","1.0356","1.0317","0.29"
"Sep 12, 2013","1.0322","1.0319","1.0336","1.0302","0.03"
"Sep 11, 2013","1.0319","1.0345","1.0365","1.0309","-0.29"
"Sep 10, 2013","1.0349","1.0370","1.0379","1.0326","-0.21"
"Sep 09, 2013","1.0371","1.0407","1.0419","1.0356","-0.33"
"Sep 06, 2013","1.0405","1.0504","1.0505","1.0378","-0.96"
"Sep 05, 2013","1.0506","1.0495","1.0515","1.0472","0.11"
"Sep 04, 2013","1.0494","1.0532","1.0542","1.0471","-0.38"
"Sep 03, 2013","1.0534","1.0543","1.0559","1.0505","-0.10"
"Sep 02, 2013","1.0545","1.0520","1.0557","1.0511","0.08"
"Aug 30, 2013","1.0537","1.0531","1.0558","1.0505","0.05"
"Aug 29, 2013","1.0532","1.0485","1.0541","1.0475","0.43"
"Aug 28, 2013","1.0487","1.0470","1.0511","1.0469","0.12"
"Aug 27, 2013","1.0474","1.0500","1.0539","1.0468","-0.26"
"Aug 26, 2013","1.0501","1.0495","1.0533","1.0492","0.06"
"Aug 23, 2013","1.0495","1.0514","1.0568","1.0492","-0.20"
"Aug 22, 2013","1.0516","1.0473","1.0530","1.0466","0.40"
"Aug 21, 2013","1.0474","1.0389","1.0482","1.0384","0.79"
"Aug 20, 2013","1.0392","1.0343","1.0401","1.0335","0.44"
"Aug 19, 2013","1.0346","1.0331","1.0348","1.0313","0.10"
"Aug 16, 2013","1.0336","1.0304","1.0359","1.0289","0.30"
"Aug 15, 2013","1.0305","1.0342","1.0364","1.0296","-0.35"
"Aug 14, 2013","1.0341","1.0342","1.0369","1.0314","-0.04"
"Aug 13, 2013","1.0345","1.0306","1.0348","1.0298","0.37"
"Aug 12, 2013","1.0307","1.0292","1.0316","1.0277","0.17"
"Aug 09, 2013","1.0289","1.0327","1.0352","1.0272","-0.37"
"Aug 08, 2013","1.0327","1.0422","1.0430","1.0300","-0.93"
"Aug 07, 2013","1.0424","1.0375","1.0445","1.0365","0.47"
"Aug 06, 2013","1.0375","1.0358","1.0390","1.0345","0.14"
"Aug 05, 2013","1.0360","1.0382","1.0403","1.0356","-0.27"
"Aug 02, 2013","1.0388","1.0346","1.0402","1.0337","0.39"
"Aug 01, 2013","1.0348","1.0274","1.0351","1.0263","0.69"
"Jul 31, 2013","1.0277","1.0307","1.0335","1.0243","-0.32"
"Jul 30, 2013","1.0310","1.0264","1.0310","1.0255","0.43"
"Jul 29, 2013","1.0266","1.0280","1.0285","1.0250","-0.17"
"Jul 26, 2013","1.0283","1.0277","1.0303","1.0258","0.03"
"Jul 25, 2013","1.0280","1.0315","1.0319","1.0251","-0.37"
"Jul 24, 2013","1.0318","1.0284","1.0325","1.0258","0.29"
"Jul 23, 2013","1.0288","1.0330","1.0349","1.0273","-0.46"
"Jul 22, 2013","1.0336","1.0361","1.0367","1.0317","-0.31"
"Jul 19, 2013","1.0368","1.0375","1.0393","1.0351","-0.08"
"Jul 18, 2013","1.0376","1.0403","1.0439","1.0371","-0.28"
"Jul 17, 2013","1.0405","1.0367","1.0439","1.0352","0.34"
"Jul 16, 2013","1.0370","1.0426","1.0442","1.0359","-0.57"
"Jul 15, 2013","1.0429","1.0385","1.0433","1.0373","0.34"
"Jul 12, 2013","1.0394","1.0364","1.0403","1.0355","0.27"
"Jul 11, 2013","1.0366","1.0464","1.0473","1.0321","-0.96"
"Jul 10, 2013","1.0467","1.0520","1.0539","1.0444","-0.52"
"Jul 09, 2013","1.0522","1.0558","1.0573","1.0509","-0.33"
"Jul 08, 2013","1.0557","1.0562","1.0586","1.0541","-0.20"
"Jul 05, 2013","1.0578","1.0510","1.0608","1.0507","0.63"
"Jul 04, 2013","1.0512","1.0503","1.0556","1.0468","0.10"
"Jul 03, 2013","1.0501","1.0540","1.0564","1.0498","-0.40"
"Jul 02, 2013","1.0543","1.0495","1.0578","1.0488","0.45"
"Jul 01, 2013","1.0496","1.0514","1.0534","1.0485","-0.22"
"Jun 28, 2013","1.0519","1.0476","1.0553","1.0449","0.40"
"Jun 27, 2013","1.0477","1.0468","1.0504","1.0419","0.07"
"Jun 26, 2013","1.0470","1.0512","1.0528","1.0454","-0.40"
"Jun 25, 2013","1.0512","1.0497","1.0547","1.0452","0.13"
"Jun 24, 2013","1.0498","1.0446","1.0556","1.0444","0.39"
"Jun 21, 2013","1.0457","1.0386","1.0487","1.0359","0.65"
"Jun 20, 2013","1.0389","1.0272","1.0393","1.0262","1.13"
"Jun 19, 2013","1.0273","1.0209","1.0286","1.0170","0.61"
"Jun 18, 2013","1.0211","1.0182","1.0217","1.0171","0.26"
"Jun 17, 2013","1.0185","1.0164","1.0205","1.0145","0.15"
"Jun 14, 2013","1.0170","1.0156","1.0186","1.0133","0.13"
"Jun 13, 2013","1.0157","1.0210","1.0225","1.0143","-0.51"
"Jun 12, 2013","1.0209","1.0184","1.0217","1.0151","0.23"
"Jun 11, 2013","1.0186","1.0189","1.0250","1.0171","-0.08"
"Jun 10, 2013","1.0194","1.0195","1.0224","1.0164","-0.02"
"Jun 07, 2013","1.0196","1.0259","1.0287","1.0165","-0.67"
"Jun 06, 2013","1.0265","1.0343","1.0366","1.0196","-0.77"
"Jun 05, 2013","1.0345","1.0340","1.0380","1.0324","0.04"
"Jun 04, 2013","1.0341","1.0275","1.0361","1.0271","0.62"
"Jun 03, 2013","1.0277","1.0358","1.0384","1.0259","-0.97"
"May 31, 2013","1.0378","1.0296","1.0381","1.0289","0.77"
"May 30, 2013","1.0299","1.0349","1.0387","1.0290","-0.51"
"May 29, 2013","1.0352","1.0395","1.0420","1.0341","-0.46"
"May 28, 2013","1.0400","1.0339","1.0408","1.0320","0.59"
"May 27, 2013","1.0339","1.0307","1.0342","1.0295","0.20"
"May 24, 2013","1.0318","1.0304","1.0356","1.0296","0.13"
"May 23, 2013","1.0305","1.0365","1.0393","1.0284","-0.63"
"May 22, 2013","1.0370","1.0264","1.0387","1.0248","1.01"
"May 21, 2013","1.0266","1.0237","1.0321","1.0233","0.24"
"May 20, 2013","1.0241","1.0275","1.0295","1.0214","-0.37"
"May 17, 2013","1.0279","1.0195","1.0312","1.0176","0.83"
"May 16, 2013","1.0194","1.0152","1.0207","1.0145","0.36"
"May 15, 2013","1.0157","1.0180","1.0218","1.0153","-0.23"
"May 14, 2013","1.0180","1.0104","1.0182","1.0086","0.72"
"May 13, 2013","1.0107","1.0087","1.0132","1.0077","0.08"
"May 10, 2013","1.0099","1.0067","1.0152","1.0060","0.30"
"May 09, 2013","1.0069","1.0029","1.0089","1.0011","0.39"
"May 08, 2013","1.0030","1.0039","1.0058","1.0015","-0.13"
"May 07, 2013","1.0043","1.0067","1.0082","1.0033","-0.25"
"May 06, 2013","1.0068","1.0077","1.0096","1.0061","-0.12"
"May 03, 2013","1.0080","1.0102","1.0131","1.0072","-0.24"
"May 02, 2013","1.0104","1.0082","1.0109","1.0055","0.19"
"May 01, 2013","1.0085","1.0072","1.0100","1.0047","0.12"
"Apr 30, 2013","1.0073","1.0109","1.0123","1.0053","-0.39"
"Apr 29, 2013","1.0112","1.0171","1.0172","1.0103","-0.56"
"Apr 26, 2013","1.0169","1.0197","1.0213","1.0154","-0.28"
"Apr 25, 2013","1.0198","1.0256","1.0260","1.0183","-0.57"
"Apr 24, 2013","1.0256","1.0252","1.0278","1.0243","-0.01"
"Apr 23, 2013","1.0257","1.0255","1.0285","1.0247","0.02"
