"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","0.9062","0.9055","0.9070","0.9025","0.08"
"Nov 28, 2013","0.9055","0.9075","0.9086","0.9039","-0.23"
"Nov 27, 2013","0.9076","0.9061","0.9092","0.9039","0.12"
"Nov 26, 2013","0.9065","0.9118","0.9119","0.9058","-0.59"
"Nov 25, 2013","0.9119","0.9070","0.9131","0.9058","0.56"
"Nov 22, 2013","0.9068","0.9127","0.9150","0.9063","-0.67"
"Nov 21, 2013","0.9129","0.9160","0.9188","0.9124","-0.36"
"Nov 20, 2013","0.9162","0.9108","0.9189","0.9075","0.56"
"Nov 19, 2013","0.9111","0.9129","0.9144","0.9100","-0.24"
"Nov 18, 2013","0.9133","0.9145","0.9162","0.9092","-0.20"
"Nov 15, 2013","0.9151","0.9161","0.9191","0.9127","-0.15"
"Nov 14, 2013","0.9165","0.9133","0.9188","0.9123","0.30"
"Nov 13, 2013","0.9138","0.9173","0.9200","0.9123","-0.40"
"Nov 12, 2013","0.9175","0.9193","0.9226","0.9153","-0.21"
"Nov 11, 2013","0.9194","0.9211","0.9231","0.9184","-0.23"
"Nov 08, 2013","0.9215","0.9157","0.9246","0.9151","0.63"
"Nov 07, 2013","0.9157","0.9120","0.9249","0.9105","0.36"
"Nov 06, 2013","0.9124","0.9135","0.9139","0.9095","-0.14"
"Nov 05, 2013","0.9137","0.9097","0.9147","0.9091","0.43"
"Nov 04, 2013","0.9098","0.9119","0.9151","0.9088","-0.27"
"Nov 01, 2013","0.9123","0.9068","0.9138","0.9061","0.62"
"Oct 31, 2013","0.9067","0.8992","0.9076","0.8986","0.83"
"Oct 30, 2013","0.8992","0.8987","0.9023","0.8948","0.04"
"Oct 29, 2013","0.8988","0.8955","0.9002","0.8941","0.33"
"Oct 28, 2013","0.8958","0.8923","0.8963","0.8917","0.35"
"Oct 25, 2013","0.8927","0.8922","0.8965","0.8889","0.04"
"Oct 24, 2013","0.8923","0.8919","0.8927","0.8888","0.02"
"Oct 23, 2013","0.8921","0.8946","0.8965","0.8908","-0.30"
"Oct 22, 2013","0.8948","0.9019","0.9039","0.8937","-0.81"
"Oct 21, 2013","0.9021","0.9019","0.9045","0.9003","0.02"
"Oct 18, 2013","0.9019","0.9023","0.9037","0.9001","-0.06"
"Oct 17, 2013","0.9024","0.9134","0.9146","0.9005","-1.22"
"Oct 16, 2013","0.9135","0.9125","0.9175","0.9094","0.08"
"Oct 15, 2013","0.9128","0.9100","0.9177","0.9088","0.27"
"Oct 14, 2013","0.9103","0.9097","0.9122","0.9061","-0.22"
"Oct 11, 2013","0.9123","0.9119","0.9132","0.9062","0.02"
"Oct 10, 2013","0.9121","0.9100","0.9131","0.9086","0.21"
"Oct 09, 2013","0.9102","0.9038","0.9127","0.9012","0.69"
"Oct 08, 2013","0.9040","0.9028","0.9065","0.9020","0.11"
"Oct 07, 2013","0.9030","0.9073","0.9073","0.9012","-0.47"
"Oct 04, 2013","0.9073","0.8993","0.9081","0.8975","0.89"
"Oct 03, 2013","0.8993","0.9025","0.9033","0.8965","-0.39"
"Oct 02, 2013","0.9028","0.9053","0.9077","0.8992","-0.31"
"Oct 01, 2013","0.9056","0.9048","0.9075","0.8989","0.07"
"Sep 30, 2013","0.9050","0.9070","0.9072","0.9021","-0.11"
"Sep 27, 2013","0.9060","0.9100","0.9111","0.9018","-0.47"
"Sep 26, 2013","0.9103","0.9090","0.9117","0.9083","0.12"
"Sep 25, 2013","0.9092","0.9125","0.9138","0.9075","-0.41"
"Sep 24, 2013","0.9129","0.9108","0.9133","0.9095","0.21"
"Sep 23, 2013","0.9110","0.9097","0.9129","0.9078","0.08"
"Sep 20, 2013","0.9103","0.9105","0.9126","0.9082","-0.03"
"Sep 19, 2013","0.9106","0.9119","0.9138","0.9087","-0.18"
"Sep 18, 2013","0.9122","0.9258","0.9268","0.9105","-1.49"
"Sep 17, 2013","0.9260","0.9273","0.9279","0.9242","-0.15"
"Sep 16, 2013","0.9274","0.9294","0.9301","0.9222","-0.28"
"Sep 13, 2013","0.9300","0.9304","0.9341","0.9276","-0.06"
"Sep 12, 2013","0.9306","0.9304","0.9331","0.9269","0.02"
"Sep 11, 2013","0.9304","0.9346","0.9370","0.9282","-0.47"
"Sep 10, 2013","0.9348","0.9319","0.9367","0.9313","0.26"
"Sep 09, 2013","0.9324","0.9381","0.9394","0.9298","-0.54"
"Sep 06, 2013","0.9375","0.9449","0.9455","0.9344","-0.80"
"Sep 05, 2013","0.9451","0.9352","0.9454","0.9347","1.05"
"Sep 04, 2013","0.9353","0.9363","0.9382","0.9344","-0.14"
"Sep 03, 2013","0.9366","0.9342","0.9382","0.9337","0.22"
"Sep 02, 2013","0.9345","0.9301","0.9349","0.9300","0.48"
"Aug 30, 2013","0.9300","0.9308","0.9332","0.9285","-0.09"
"Aug 29, 2013","0.9308","0.9221","0.9321","0.9214","0.94"
"Aug 28, 2013","0.9221","0.9176","0.9235","0.9167","0.51"
"Aug 27, 2013","0.9174","0.9226","0.9231","0.9168","-0.64"
"Aug 26, 2013","0.9233","0.9212","0.9246","0.9200","0.21"
"Aug 23, 2013","0.9214","0.9232","0.9263","0.9187","-0.21"
"Aug 22, 2013","0.9233","0.9221","0.9289","0.9215","0.09"
"Aug 21, 2013","0.9225","0.9171","0.9234","0.9159","0.54"
"Aug 20, 2013","0.9175","0.9242","0.9250","0.9145","-0.71"
"Aug 19, 2013","0.9241","0.9264","0.9285","0.9225","-0.25"
"Aug 16, 2013","0.9264","0.9257","0.9287","0.9213","0.03"
