"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","6.0932","6.0931","6.0955","6.0919","0.01"
"Nov 28, 2013","6.0924","6.0927","6.0931","6.0922","0.00"
"Nov 27, 2013","6.0924","6.0926","6.0930","6.0912","-0.00"
"Nov 26, 2013","6.0927","6.0926","6.0930","6.0913","0.00"
"Nov 25, 2013","6.0926","6.0930","6.0938","6.0920","-0.02"
"Nov 22, 2013","6.0937","6.0928","6.0938","6.0915","0.01"
"Nov 21, 2013","6.0929","6.0923","6.0940","6.0915","0.00"
"Nov 20, 2013","6.0928","6.0926","6.0935","6.0900","-0.00"
"Nov 19, 2013","6.0930","6.0923","6.0934","6.0910","0.01"
"Nov 18, 2013","6.0921","6.0922","6.0929","6.0905","-0.00"
"Nov 15, 2013","6.0922","6.0930","6.0930","6.0902","0.00"
"Nov 14, 2013","6.0922","6.0910","6.0929","6.0902","-0.01"
"Nov 13, 2013","6.0929","6.0921","6.0929","6.0870","0.01"
"Nov 12, 2013","6.0920","6.0915","6.0937","6.0902","0.01"
"Nov 11, 2013","6.0914","6.0906","6.0922","6.0892","0.01"
"Nov 08, 2013","6.0906","6.0908","6.0932","6.0872","-0.00"
"Nov 07, 2013","6.0908","6.0928","6.0963","6.0898","-0.03"
"Nov 06, 2013","6.0927","6.0968","6.0976","6.0926","-0.07"
"Nov 05, 2013","6.0968","6.0993","6.0993","6.0954","-0.04"
"Nov 04, 2013","6.0990","6.1000","6.1032","6.0961","-0.01"
"Nov 01, 2013","6.0995","6.0947","6.0998","6.0927","0.08"
"Oct 31, 2013","6.0945","6.0937","6.0950","6.0911","0.01"
"Oct 30, 2013","6.0938","6.0904","6.0949","6.0904","0.06"
"Oct 29, 2013","6.0902","6.0855","6.0909","6.0848","0.08"
"Oct 28, 2013","6.0855","6.0840","6.0860","6.0821","0.02"
"Oct 25, 2013","6.0840","6.0815","6.0840","6.0801","0.03"
"Oct 24, 2013","6.0820","6.0840","6.0844","6.0808","-0.02"
"Oct 23, 2013","6.0835","6.0927","6.0927","6.0832","-0.15"
"Oct 22, 2013","6.0927","6.0925","6.0955","6.0913","0.00"
"Oct 21, 2013","6.0926","6.0970","6.0970","6.0912","-0.07"
"Oct 18, 2013","6.0968","6.0979","6.0979","6.0912","-0.02"
"Oct 17, 2013","6.0982","6.1007","6.1007","6.0944","-0.03"
"Oct 16, 2013","6.0998","6.1028","6.1057","6.0959","-0.05"
"Oct 15, 2013","6.1026","6.1074","6.1087","6.0998","-0.09"
"Oct 14, 2013","6.1079","6.1199","6.1199","6.1068","-0.21"
"Oct 11, 2013","6.1206","6.1158","6.1206","6.1107","0.08"
"Oct 10, 2013","6.1158","6.1207","6.1209","6.1150","-0.09"
"Oct 09, 2013","6.1211","6.1203","6.1211","6.1182","0.00"
"Oct 08, 2013","6.1211","6.1217","6.1217","6.1179","-0.01"
"Oct 07, 2013","6.1215","6.1215","6.1215","6.1215","0.00"
"Oct 04, 2013","6.1215","6.1215","6.1215","6.1215","0.00"
"Oct 03, 2013","6.1215","6.1215","6.1215","6.1215","0.00"
"Oct 02, 2013","6.1215","6.1215","6.1215","6.1215","0.00"
"Oct 01, 2013","6.1215","6.1215","6.1215","6.1215","0.00"
"Sep 30, 2013","6.1215","6.1195","6.1228","6.1185","0.03"
"Sep 27, 2013","6.1199","6.1220","6.1235","6.1199","-0.02"
"Sep 26, 2013","6.1214","6.1200","6.1223","6.1200","0.02"
"Sep 25, 2013","6.1200","6.1218","6.1229","6.1190","-0.01"
"Sep 24, 2013","6.1209","6.1205","6.1210","6.1183","-0.00"
"Sep 23, 2013","6.1210","6.1213","6.1213","6.1176","-0.00"
"Sep 20, 2013","6.1212","6.1212","6.1212","6.1212","0.00"
"Sep 19, 2013","6.1212","6.1212","6.1212","6.1212","0.00"
"Sep 18, 2013","6.1212","6.1212","6.1222","6.1196","-0.00"
"Sep 17, 2013","6.1215","6.1204","6.1217","6.1192","0.02"
"Sep 16, 2013","6.1203","6.1191","6.1213","6.1167","0.02"
"Sep 13, 2013","6.1188","6.1177","6.1190","6.1165","0.01"
"Sep 12, 2013","6.1180","6.1185","6.1189","6.1162","-0.01"
"Sep 11, 2013","6.1185","6.1202","6.1202","6.1175","-0.02"
"Sep 10, 2013","6.1200","6.1195","6.1217","6.1179","-0.02"
"Sep 09, 2013","6.1210","6.1203","6.1219","6.1136","0.01"
"Sep 06, 2013","6.1205","6.1200","6.1212","6.1183","0.01"
"Sep 05, 2013","6.1199","6.1193","6.1209","6.1180","-0.00"
"Sep 04, 2013","6.1201","6.1208","6.1217","6.1172","-0.01"
"Sep 03, 2013","6.1206","6.1191","6.1217","6.1186","0.02"
"Sep 02, 2013","6.1196","6.1195","6.1197","6.1148","0.00"
"Aug 30, 2013","6.1195","6.1203","6.1209","6.1191","-0.01"
"Aug 29, 2013","6.1204","6.1203","6.1220","6.1194","0.00"
"Aug 28, 2013","6.1204","6.1209","6.1229","6.1190","-0.02"
"Aug 27, 2013","6.1217","6.1211","6.1240","6.1200","0.01"
"Aug 26, 2013","6.1212","6.1221","6.1227","6.1186","0.00"
"Aug 23, 2013","6.1210","6.1221","6.1241","6.1208","-0.00"
"Aug 22, 2013","6.1211","6.1239","6.1273","6.1200","-0.04"
"Aug 21, 2013","6.1234","6.1250","6.1263","6.1201","-0.02"
"Aug 20, 2013","6.1246","6.1230","6.1260","6.1197","0.03"
"Aug 19, 2013","6.1229","6.1147","6.1240","6.1126","0.13"
"Aug 16, 2013","6.1150","6.1126","6.1153","6.1099","0.04"
"Aug 15, 2013","6.1125","6.1196","6.1196","6.1122","-0.12"
"Aug 14, 2013","6.1196","6.1222","6.1222","6.1173","-0.04"
"Aug 13, 2013","6.1218","6.1219","6.1248","6.1205","-0.01"
"Aug 12, 2013","6.1223","6.1196","6.1232","6.1182","0.01"
"Aug 09, 2013","6.1219","6.1209","6.1222","6.1152","0.01"
"Aug 08, 2013","6.1214","6.1191","6.1225","6.1140","0.04"
"Aug 07, 2013","6.1192","6.1207","6.1221","6.1181","-0.04"
"Aug 06, 2013","6.1217","6.1226","6.1241","6.1205","-0.05"
"Aug 05, 2013","6.1247","6.1297","6.1297","6.1237","-0.08"
"Aug 02, 2013","6.1295","6.1303","6.1323","6.1280","-0.01"
"Aug 01, 2013","6.1304","6.1291","6.1306","6.1253","0.02"
"Jul 31, 2013","6.1289","6.1321","6.1323","6.1283","-0.05"
"Jul 30, 2013","6.1317","6.1325","6.1353","6.1305","-0.01"
"Jul 29, 2013","6.1325","6.1318","6.1333","6.1285","0.01"
"Jul 26, 2013","6.1317","6.1330","6.1335","6.1286","-0.05"
"Jul 25, 2013","6.1347","6.1359","6.1394","6.1336","-0.02"
"Jul 24, 2013","6.1360","6.1369","6.1386","6.1342","-0.02"
"Jul 23, 2013","6.1374","6.1415","6.1426","6.1354","-0.06"
"Jul 22, 2013","6.1409","6.1385","6.1416","6.1354","0.05"
"Jul 19, 2013","6.1379","6.1410","6.1417","6.1362","-0.06"
