"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","5.4889","5.4816","5.4923","5.4737","0.12"
"Nov 28, 2013","5.4821","5.4905","5.4984","5.4748","-0.19"
"Nov 27, 2013","5.4924","5.4942","5.5013","5.4770","-0.06"
"Nov 26, 2013","5.4958","5.5167","5.5184","5.4924","-0.41"
"Nov 25, 2013","5.5183","5.5043","5.5284","5.4988","0.32"
"Nov 22, 2013","5.5006","5.5321","5.5401","5.4991","-0.58"
"Nov 21, 2013","5.5325","5.5491","5.5664","5.5288","-0.32"
"Nov 20, 2013","5.5501","5.5078","5.5599","5.4919","0.75"
"Nov 19, 2013","5.5090","5.5220","5.5296","5.5039","-0.24"
"Nov 18, 2013","5.5225","5.5232","5.5351","5.5065","-0.08"
"Nov 15, 2013","5.5267","5.5391","5.5526","5.5202","-0.27"
"Nov 14, 2013","5.5419","5.5298","5.5587","5.5243","0.20"
"Nov 13, 2013","5.5306","5.5506","5.5704","5.5252","-0.37"
"Nov 12, 2013","5.5510","5.5629","5.5825","5.5413","-0.22"
"Nov 11, 2013","5.5631","5.5814","5.5890","5.5575","-0.30"
"Nov 08, 2013","5.5798","5.5576","5.6001","5.5486","0.39"
"Nov 07, 2013","5.5579","5.5194","5.6089","5.5112","0.69"
"Nov 06, 2013","5.5199","5.5338","5.5382","5.5035","-0.29"
"Nov 05, 2013","5.5358","5.5180","5.5457","5.5134","0.32"
"Nov 04, 2013","5.5183","5.5279","5.5476","5.5128","-0.22"
"Nov 01, 2013","5.5302","5.4897","5.5328","5.4859","0.73"
"Oct 31, 2013","5.4901","5.4295","5.4938","5.4266","1.11"
"Oct 30, 2013","5.4299","5.4259","5.4450","5.4091","0.07"
"Oct 29, 2013","5.4263","5.4092","5.4294","5.3977","0.28"
"Oct 28, 2013","5.4113","5.4032","5.4151","5.3972","0.13"
"Oct 25, 2013","5.4044","5.4044","5.4148","5.3908","-0.01"
"Oct 24, 2013","5.4048","5.4140","5.4189","5.3935","-0.19"
"Oct 23, 2013","5.4149","5.4121","5.4283","5.4060","0.04"
"Oct 22, 2013","5.4130","5.4520","5.4596","5.4069","-0.72"
"Oct 21, 2013","5.4522","5.4487","5.4641","5.4471","0.04"
"Oct 18, 2013","5.4498","5.4534","5.4606","5.4410","-0.08"
"Oct 17, 2013","5.4542","5.5106","5.5185","5.4495","-1.03"
"Oct 16, 2013","5.5111","5.5149","5.5355","5.4956","-0.08"
"Oct 15, 2013","5.5156","5.4997","5.5333","5.4938","0.28"
"Oct 14, 2013","5.5001","5.5036","5.5063","5.4839","-0.13"
"Oct 11, 2013","5.5075","5.5168","5.5176","5.4903","-0.18"
"Oct 10, 2013","5.5173","5.5148","5.5304","5.5050","0.04"
"Oct 09, 2013","5.5151","5.4956","5.5309","5.4812","0.35"
