"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","0.7358","0.7350","0.7364","0.7340","0.11"
"Nov 28, 2013","0.7350","0.7364","0.7373","0.7342","-0.20"
"Nov 27, 2013","0.7365","0.7367","0.7377","0.7345","-0.05"
"Nov 26, 2013","0.7369","0.7398","0.7399","0.7365","-0.41"
"Nov 25, 2013","0.7399","0.7379","0.7412","0.7374","0.31"
"Nov 22, 2013","0.7376","0.7417","0.7429","0.7375","-0.57"
"Nov 21, 2013","0.7418","0.7439","0.7463","0.7413","-0.31"
"Nov 20, 2013","0.7441","0.7385","0.7455","0.7364","0.74"
"Nov 19, 2013","0.7386","0.7404","0.7415","0.7381","-0.26"
"Nov 18, 2013","0.7405","0.7405","0.7422","0.7383","-0.07"
"Nov 15, 2013","0.7410","0.7429","0.7444","0.7404","-0.26"
"Nov 14, 2013","0.7429","0.7414","0.7453","0.7407","0.20"
"Nov 13, 2013","0.7414","0.7442","0.7470","0.7409","-0.38"
"Nov 12, 2013","0.7442","0.7459","0.7486","0.7431","-0.24"
"Nov 11, 2013","0.7460","0.7483","0.7493","0.7453","-0.25"
"Nov 08, 2013","0.7479","0.7452","0.7509","0.7440","0.36"
"Nov 07, 2013","0.7452","0.7400","0.7521","0.7390","0.70"
"Nov 06, 2013","0.7400","0.7421","0.7427","0.7380","-0.28"
"Nov 05, 2013","0.7421","0.7398","0.7436","0.7394","0.30"
"Nov 04, 2013","0.7399","0.7412","0.7440","0.7393","-0.20"
"Nov 01, 2013","0.7414","0.7361","0.7420","0.7357","0.72"
"Oct 31, 2013","0.7361","0.7280","0.7368","0.7277","1.11"
"Oct 30, 2013","0.7280","0.7274","0.7301","0.7254","0.07"
"Oct 29, 2013","0.7275","0.7254","0.7280","0.7239","0.28"
"Oct 28, 2013","0.7255","0.7245","0.7259","0.7236","0.15"
"Oct 25, 2013","0.7244","0.7245","0.7260","0.7229","-0.04"
"Oct 24, 2013","0.7247","0.7258","0.7266","0.7232","-0.15"
"Oct 23, 2013","0.7258","0.7256","0.7278","0.7249","0.03"
"Oct 22, 2013","0.7256","0.7308","0.7321","0.7250","-0.71"
"Oct 21, 2013","0.7308","0.7306","0.7326","0.7301","0.01"
"Oct 18, 2013","0.7307","0.7312","0.7322","0.7296","-0.07"
"Oct 17, 2013","0.7312","0.7388","0.7399","0.7308","-1.04"
"Oct 16, 2013","0.7389","0.7394","0.7422","0.7369","-0.07"
"Oct 15, 2013","0.7394","0.7373","0.7419","0.7368","0.27"
"Oct 14, 2013","0.7374","0.7382","0.7382","0.7353","-0.15"
"Oct 11, 2013","0.7385","0.7396","0.7398","0.7362","-0.16"
"Oct 10, 2013","0.7397","0.7394","0.7414","0.7382","0.05"
"Oct 09, 2013","0.7393","0.7366","0.7416","0.7349","0.34"
"Oct 08, 2013","0.7368","0.7362","0.7378","0.7348","0.08"
"Oct 07, 2013","0.7362","0.7377","0.7384","0.7357","-0.19"
"Oct 04, 2013","0.7376","0.7343","0.7387","0.7335","0.44"
"Oct 03, 2013","0.7344","0.7364","0.7366","0.7327","-0.29"
"Oct 02, 2013","0.7365","0.7392","0.7405","0.7348","-0.38"
"Oct 01, 2013","0.7393","0.7392","0.7399","0.7358","0.00"
"Sep 30, 2013","0.7393","0.7418","0.7425","0.7376","-0.04"
"Sep 27, 2013","0.7396","0.7413","0.7421","0.7371","-0.23"
"Sep 26, 2013","0.7413","0.7393","0.7422","0.7389","0.27"
"Sep 25, 2013","0.7393","0.7421","0.7429","0.7386","-0.39"
"Sep 24, 2013","0.7422","0.7411","0.7428","0.7396","0.15"
"Sep 23, 2013","0.7411","0.7382","0.7419","0.7376","0.23"
"Sep 20, 2013","0.7394","0.7390","0.7409","0.7380","0.04"
"Sep 19, 2013","0.7391","0.7395","0.7407","0.7369","-0.07"
"Sep 18, 2013","0.7396","0.7486","0.7498","0.7383","-1.20"
"Sep 17, 2013","0.7486","0.7499","0.7506","0.7479","-0.19"
"Sep 16, 2013","0.7500","0.7513","0.7520","0.7469","-0.29"
"Sep 13, 2013","0.7522","0.7518","0.7545","0.7505","0.04"
"Sep 12, 2013","0.7519","0.7511","0.7542","0.7504","0.09"
"Sep 11, 2013","0.7512","0.7536","0.7551","0.7504","-0.33"
"Sep 10, 2013","0.7537","0.7544","0.7559","0.7531","-0.09"
"Sep 09, 2013","0.7544","0.7592","0.7599","0.7528","-0.58"
"Sep 06, 2013","0.7588","0.7621","0.7631","0.7581","-0.45"
"Sep 05, 2013","0.7622","0.7571","0.7628","0.7561","0.67"
"Sep 04, 2013","0.7571","0.7592","0.7601","0.7564","-0.29"
"Sep 03, 2013","0.7593","0.7579","0.7611","0.7576","0.16"
"Sep 02, 2013","0.7581","0.7555","0.7585","0.7554","0.25"
"Aug 30, 2013","0.7562","0.7552","0.7591","0.7544","0.13"
"Aug 29, 2013","0.7552","0.7495","0.7564","0.7493","0.73"
"Aug 28, 2013","0.7497","0.7465","0.7515","0.7463","0.40"
"Aug 27, 2013","0.7467","0.7479","0.7505","0.7462","-0.17"
"Aug 26, 2013","0.7480","0.7471","0.7487","0.7465","0.11"
"Aug 23, 2013","0.7472","0.7487","0.7500","0.7456","-0.20"
"Aug 22, 2013","0.7487","0.7487","0.7520","0.7477","0.00"
"Aug 21, 2013","0.7487","0.7453","0.7500","0.7447","0.46"
"Aug 20, 2013","0.7453","0.7497","0.7505","0.7433","-0.61"
"Aug 19, 2013","0.7499","0.7502","0.7511","0.7476","-0.04"
"Aug 16, 2013","0.7502","0.7491","0.7512","0.7473","0.13"
"Aug 15, 2013","0.7492","0.7543","0.7573","0.7482","-0.68"
"Aug 14, 2013","0.7543","0.7539","0.7553","0.7530","0.04"
"Aug 13, 2013","0.7540","0.7518","0.7557","0.7508","0.28"
"Aug 12, 2013","0.7519","0.7496","0.7532","0.7492","0.33"
"Aug 09, 2013","0.7494","0.7472","0.7501","0.7467","0.28"
"Aug 08, 2013","0.7473","0.7497","0.7503","0.7462","-0.33"
"Aug 07, 2013","0.7498","0.7515","0.7539","0.7492","-0.23"
"Aug 06, 2013","0.7515","0.7541","0.7550","0.7505","-0.36"
"Aug 05, 2013","0.7542","0.7531","0.7558","0.7518","0.17"
"Aug 02, 2013","0.7529","0.7571","0.7582","0.7520","-0.55"
"Aug 01, 2013","0.7571","0.7516","0.7578","0.7511","0.70"
"Jul 31, 2013","0.7518","0.7539","0.7569","0.7493","-0.29"
"Jul 30, 2013","0.7540","0.7540","0.7557","0.7517","0.00"
"Jul 29, 2013","0.7540","0.7526","0.7554","0.7519","0.13"
"Jul 26, 2013","0.7530","0.7531","0.7545","0.7519","-0.01"
"Jul 25, 2013","0.7531","0.7575","0.7595","0.7520","-0.58"
"Jul 24, 2013","0.7575","0.7561","0.7590","0.7542","0.17"
"Jul 23, 2013","0.7562","0.7583","0.7598","0.7552","-0.30"
"Jul 22, 2013","0.7585","0.7603","0.7615","0.7564","-0.32"
"Jul 19, 2013","0.7609","0.7627","0.7639","0.7602","-0.25"
"Jul 18, 2013","0.7628","0.7618","0.7652","0.7616","0.12"
"Jul 17, 2013","0.7619","0.7596","0.7643","0.7588","0.28"
"Jul 16, 2013","0.7598","0.7655","0.7661","0.7590","-0.74"
"Jul 15, 2013","0.7655","0.7645","0.7696","0.7639","0.04"
"Jul 12, 2013","0.7652","0.7635","0.7693","0.7632","0.22"
"Jul 11, 2013","0.7635","0.7705","0.7713","0.7573","-0.92"
"Jul 10, 2013","0.7706","0.7824","0.7834","0.7701","-1.51"
"Jul 09, 2013","0.7824","0.7768","0.7840","0.7752","0.69"
"Jul 08, 2013","0.7770","0.7794","0.7807","0.7761","-0.30"
"Jul 05, 2013","0.7793","0.7743","0.7809","0.7741","0.63"
"Jul 04, 2013","0.7744","0.7686","0.7762","0.7677","0.74"
"Jul 03, 2013","0.7687","0.7704","0.7739","0.7673","-0.23"
"Jul 02, 2013","0.7705","0.7654","0.7714","0.7645","0.67"
"Jul 01, 2013","0.7654","0.7683","0.7690","0.7652","-0.43"
"Jun 28, 2013","0.7687","0.7669","0.7699","0.7631","0.21"
"Jun 27, 2013","0.7671","0.7685","0.7693","0.7658","-0.18"
"Jun 26, 2013","0.7685","0.7642","0.7702","0.7640","0.54"
"Jun 25, 2013","0.7644","0.7621","0.7654","0.7603","0.28"
"Jun 24, 2013","0.7623","0.7622","0.7658","0.7607","0.03"
"Jun 21, 2013","0.7621","0.7563","0.7634","0.7544","0.75"
"Jun 20, 2013","0.7564","0.7522","0.7599","0.7516","0.57"
"Jun 19, 2013","0.7521","0.7465","0.7541","0.7453","0.74"
"Jun 18, 2013","0.7466","0.7479","0.7505","0.7453","-0.19"
"Jun 17, 2013","0.7480","0.7492","0.7509","0.7472","-0.16"
"Jun 14, 2013","0.7492","0.7476","0.7521","0.7475","0.20"
"Jun 13, 2013","0.7477","0.7496","0.7530","0.7467","-0.28"
"Jun 12, 2013","0.7498","0.7510","0.7538","0.7484","-0.16"
"Jun 11, 2013","0.7510","0.7543","0.7558","0.7508","-0.44"
"Jun 10, 2013","0.7543","0.7570","0.7589","0.7535","-0.25"
"Jun 07, 2013","0.7562","0.7548","0.7581","0.7526","0.17"
"Jun 06, 2013","0.7549","0.7637","0.7649","0.7514","-1.17"
"Jun 05, 2013","0.7638","0.7644","0.7661","0.7624","-0.09"
"Jun 04, 2013","0.7645","0.7647","0.7668","0.7632","-0.04"
"Jun 03, 2013","0.7648","0.7694","0.7719","0.7628","-0.58"
"May 31, 2013","0.7693","0.7662","0.7727","0.7655","0.39"
"May 30, 2013","0.7663","0.7726","0.7733","0.7655","-0.84"
"May 29, 2013","0.7728","0.7777","0.7790","0.7704","-0.66"
"May 28, 2013","0.7779","0.7732","0.7783","0.7721","0.59"
"May 27, 2013","0.7733","0.7729","0.7744","0.7721","0.00"
"May 24, 2013","0.7733","0.7730","0.7751","0.7695","0.03"
"May 23, 2013","0.7731","0.7777","0.7800","0.7717","-0.59"
"May 22, 2013","0.7777","0.7747","0.7793","0.7692","0.37"
"May 21, 2013","0.7748","0.7762","0.7788","0.7731","-0.18"
"May 20, 2013","0.7762","0.7796","0.7801","0.7750","-0.35"
"May 17, 2013","0.7789","0.7762","0.7814","0.7757","0.35"
"May 16, 2013","0.7762","0.7759","0.7784","0.7733","0.03"
"May 15, 2013","0.7760","0.7739","0.7786","0.7726","0.26"
"May 14, 2013","0.7740","0.7706","0.7744","0.7675","0.43"
"May 13, 2013","0.7707","0.7715","0.7729","0.7649","0.14"
"May 10, 2013","0.7696","0.7665","0.7731","0.7661","0.38"
"May 09, 2013","0.7667","0.7603","0.7688","0.7588","0.84"
"May 08, 2013","0.7603","0.7645","0.7650","0.7578","-0.56"
"May 07, 2013","0.7646","0.7647","0.7653","0.7614","-0.03"
"May 06, 2013","0.7648","0.7624","0.7662","0.7609","0.30"
"May 03, 2013","0.7625","0.7652","0.7673","0.7599","-0.38"
"May 02, 2013","0.7654","0.7587","0.7671","0.7565","0.87"
"May 01, 2013","0.7588","0.7593","0.7600","0.7551","-0.08"
"Apr 30, 2013","0.7594","0.7633","0.7660","0.7583","-0.51"
"Apr 29, 2013","0.7633","0.7673","0.7676","0.7624","-0.55"
"Apr 26, 2013","0.7675","0.7685","0.7699","0.7663","-0.12"
