"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","0.6110","0.6117","0.6130","0.6102","-0.15"
"Nov 28, 2013","0.6119","0.6139","0.6144","0.6112","-0.33"
"Nov 27, 2013","0.6139","0.6166","0.6174","0.6123","-0.45"
"Nov 26, 2013","0.6167","0.6189","0.6197","0.6164","-0.37"
"Nov 25, 2013","0.6190","0.6161","0.6199","0.6156","0.44"
"Nov 22, 2013","0.6163","0.6172","0.6182","0.6162","-0.16"
"Nov 21, 2013","0.6173","0.6208","0.6222","0.6171","-0.60"
"Nov 20, 2013","0.6210","0.6203","0.6216","0.6180","0.11"
"Nov 19, 2013","0.6203","0.6207","0.6228","0.6198","-0.08"
"Nov 18, 2013","0.6208","0.6202","0.6219","0.6192","0.08"
"Nov 15, 2013","0.6203","0.6224","0.6232","0.6197","-0.34"
"Nov 14, 2013","0.6224","0.6227","0.6255","0.6210","-0.06"
"Nov 13, 2013","0.6228","0.6287","0.6298","0.6223","-0.95"
"Nov 12, 2013","0.6288","0.6254","0.6308","0.6252","0.54"
"Nov 11, 2013","0.6254","0.6244","0.6263","0.6240","0.18"
"Nov 08, 2013","0.6243","0.6212","0.6267","0.6208","0.50"
"Nov 07, 2013","0.6212","0.6218","0.6247","0.6205","-0.10"
"Nov 06, 2013","0.6218","0.6232","0.6234","0.6203","-0.22"
"Nov 05, 2013","0.6232","0.6262","0.6270","0.6225","-0.48"
"Nov 04, 2013","0.6262","0.6279","0.6288","0.6257","-0.27"
"Nov 01, 2013","0.6279","0.6232","0.6286","0.6231","0.74"
"Oct 31, 2013","0.6233","0.6234","0.6248","0.6222","-0.03"
"Oct 30, 2013","0.6235","0.6231","0.6251","0.6219","0.06"
"Oct 29, 2013","0.6231","0.6193","0.6241","0.6193","0.58"
"Oct 28, 2013","0.6195","0.6186","0.6203","0.6169","0.15"
"Oct 25, 2013","0.6186","0.6172","0.6193","0.6154","0.23"
"Oct 24, 2013","0.6172","0.6186","0.6198","0.6163","-0.24"
"Oct 23, 2013","0.6187","0.6158","0.6203","0.6150","0.45"
"Oct 22, 2013","0.6159","0.6192","0.6206","0.6153","-0.55"
"Oct 21, 2013","0.6193","0.6181","0.6199","0.6179","0.13"
"Oct 18, 2013","0.6185","0.6186","0.6196","0.6163","-0.03"
"Oct 17, 2013","0.6187","0.6270","0.6273","0.6183","-1.31"
"Oct 16, 2013","0.6269","0.6250","0.6292","0.6231","0.29"
"Oct 15, 2013","0.6251","0.6255","0.6284","0.6246","-0.08"
"Oct 14, 2013","0.6256","0.6268","0.6269","0.6242","-0.19"
"Oct 11, 2013","0.6268","0.6263","0.6280","0.6248","0.08"
"Oct 10, 2013","0.6263","0.6266","0.6283","0.6257","-0.06"
"Oct 09, 2013","0.6267","0.6216","0.6284","0.6202","0.80"
"Oct 08, 2013","0.6217","0.6212","0.6243","0.6201","0.08"
"Oct 07, 2013","0.6212","0.6242","0.6243","0.6210","-0.56"
"Oct 04, 2013","0.6247","0.6189","0.6248","0.6180","0.92"
"Oct 03, 2013","0.6190","0.6163","0.6191","0.6156","0.42"
"Oct 02, 2013","0.6164","0.6174","0.6188","0.6153","-0.18"
"Oct 01, 2013","0.6175","0.6178","0.6180","0.6149","-0.05"
"Sep 30, 2013","0.6178","0.6203","0.6210","0.6171","-0.29"
"Sep 27, 2013","0.6196","0.6233","0.6239","0.6192","-0.61"
"Sep 26, 2013","0.6234","0.6218","0.6251","0.6212","0.24"
"Sep 25, 2013","0.6219","0.6248","0.6258","0.6215","-0.48"
"Sep 24, 2013","0.6249","0.6233","0.6268","0.6231","0.26"
"Sep 23, 2013","0.6233","0.6239","0.6252","0.6221","-0.24"
"Sep 20, 2013","0.6248","0.6236","0.6255","0.6223","0.14"
"Sep 19, 2013","0.6239","0.6192","0.6241","0.6190","0.74"
"Sep 18, 2013","0.6193","0.6287","0.6292","0.6186","-1.51"
"Sep 17, 2013","0.6288","0.6290","0.6295","0.6274","-0.05"
"Sep 16, 2013","0.6291","0.6299","0.6300","0.6264","-0.13"
"Sep 13, 2013","0.6299","0.6326","0.6339","0.6294","-0.44"
"Sep 12, 2013","0.6327","0.6320","0.6339","0.6313","0.08"
"Sep 11, 2013","0.6322","0.6355","0.6362","0.6317","-0.53"
"Sep 10, 2013","0.6356","0.6370","0.6376","0.6350","-0.25"
"Sep 09, 2013","0.6372","0.6395","0.6408","0.6355","-0.41"
"Sep 06, 2013","0.6398","0.6414","0.6425","0.6376","-0.25"
"Sep 05, 2013","0.6414","0.6398","0.6421","0.6382","0.23"
"Sep 04, 2013","0.6399","0.6425","0.6429","0.6389","-0.44"
"Sep 03, 2013","0.6427","0.6432","0.6443","0.6409","-0.08"
"Sep 02, 2013","0.6432","0.6446","0.6450","0.6412","-0.25"
"Aug 30, 2013","0.6448","0.6450","0.6468","0.6439","-0.03"
"Aug 29, 2013","0.6450","0.6440","0.6459","0.6430","0.14"
"Aug 28, 2013","0.6441","0.6431","0.6482","0.6429","0.14"
"Aug 27, 2013","0.6432","0.6419","0.6460","0.6412","0.19"
"Aug 26, 2013","0.6420","0.6419","0.6429","0.6405","-0.05"
"Aug 23, 2013","0.6423","0.6414","0.6435","0.6394","0.12"
"Aug 22, 2013","0.6415","0.6386","0.6426","0.6383","0.45"
"Aug 21, 2013","0.6386","0.6382","0.6395","0.6361","0.05"
"Aug 20, 2013","0.6383","0.6390","0.6399","0.6370","-0.11"
"Aug 19, 2013","0.6390","0.6400","0.6407","0.6380","-0.13"
"Aug 16, 2013","0.6398","0.6391","0.6408","0.6387","0.08"
"Aug 15, 2013","0.6393","0.6451","0.6453","0.6388","-0.90"
"Aug 14, 2013","0.6451","0.6472","0.6484","0.6431","-0.34"
"Aug 13, 2013","0.6473","0.6466","0.6483","0.6447","0.11"
"Aug 12, 2013","0.6466","0.6450","0.6469","0.6441","0.22"
"Aug 09, 2013","0.6452","0.6434","0.6452","0.6426","0.26"
"Aug 08, 2013","0.6435","0.6456","0.6458","0.6420","-0.34"
"Aug 07, 2013","0.6457","0.6515","0.6577","0.6438","-0.89"
"Aug 06, 2013","0.6515","0.6510","0.6522","0.6496","0.06"
"Aug 05, 2013","0.6511","0.6539","0.6552","0.6502","-0.46"
"Aug 02, 2013","0.6541","0.6613","0.6622","0.6531","-1.09"
"Aug 01, 2013","0.6613","0.6574","0.6618","0.6560","0.58"
"Jul 31, 2013","0.6575","0.6562","0.6612","0.6554","0.18"
"Jul 30, 2013","0.6563","0.6518","0.6568","0.6512","0.67"
"Jul 29, 2013","0.6519","0.6502","0.6525","0.6487","0.28"
"Jul 26, 2013","0.6501","0.6496","0.6513","0.6485","0.06"
"Jul 25, 2013","0.6497","0.6528","0.6551","0.6478","-0.49"
"Jul 24, 2013","0.6529","0.6505","0.6541","0.6496","0.35"
"Jul 23, 2013","0.6506","0.6509","0.6524","0.6496","-0.08"
"Jul 22, 2013","0.6511","0.6545","0.6554","0.6499","-0.60"
"Jul 19, 2013","0.6550","0.6567","0.6581","0.6543","-0.24"
"Jul 18, 2013","0.6566","0.6572","0.6597","0.6560","-0.11"
"Jul 17, 2013","0.6573","0.6595","0.6632","0.6549","-0.35"
"Jul 16, 2013","0.6596","0.6621","0.6647","0.6592","-0.41"
"Jul 15, 2013","0.6623","0.6614","0.6654","0.6602","0.06"
"Jul 12, 2013","0.6619","0.6585","0.6634","0.6582","0.52"
"Jul 11, 2013","0.6585","0.6659","0.6666","0.6568","-1.16"
"Jul 10, 2013","0.6662","0.6725","0.6736","0.6659","-0.95"
"Jul 09, 2013","0.6726","0.6688","0.6751","0.6674","0.57"
"Jul 08, 2013","0.6688","0.6705","0.6730","0.6680","-0.42"
"Jul 05, 2013","0.6716","0.6633","0.6730","0.6629","1.22"
"Jul 04, 2013","0.6635","0.6543","0.6642","0.6540","1.39"
"Jul 03, 2013","0.6544","0.6598","0.6610","0.6534","-0.83"
"Jul 02, 2013","0.6599","0.6571","0.6606","0.6561","0.41"
"Jul 01, 2013","0.6572","0.6579","0.6586","0.6557","-0.02"
"Jun 28, 2013","0.6573","0.6552","0.6594","0.6544","0.31"
"Jun 27, 2013","0.6553","0.6529","0.6579","0.6515","0.35"
"Jun 26, 2013","0.6530","0.6483","0.6536","0.6475","0.71"
"Jun 25, 2013","0.6484","0.6478","0.6494","0.6460","0.08"
"Jun 24, 2013","0.6479","0.6492","0.6518","0.6465","-0.11"
"Jun 21, 2013","0.6486","0.6447","0.6507","0.6438","0.59"
"Jun 20, 2013","0.6448","0.6457","0.6488","0.6443","-0.15"
"Jun 19, 2013","0.6458","0.6392","0.6472","0.6378","1.03"
"Jun 18, 2013","0.6392","0.6360","0.6424","0.6358","0.49"
"Jun 17, 2013","0.6361","0.6363","0.6377","0.6348","-0.11"
"Jun 14, 2013","0.6368","0.6361","0.6404","0.6358","0.11"
"Jun 13, 2013","0.6361","0.6377","0.6393","0.6354","-0.27"
"Jun 12, 2013","0.6378","0.6389","0.6397","0.6369","-0.19"
"Jun 11, 2013","0.6390","0.6421","0.6442","0.6387","-0.48"
"Jun 10, 2013","0.6421","0.6440","0.6453","0.6415","-0.11"
"Jun 07, 2013","0.6428","0.6410","0.6456","0.6402","0.28"
"Jun 06, 2013","0.6410","0.6491","0.6502","0.6375","-1.25"
"Jun 05, 2013","0.6491","0.6530","0.6540","0.6488","-0.61"
"Jun 04, 2013","0.6531","0.6526","0.6547","0.6516","0.08"
"Jun 03, 2013","0.6526","0.6577","0.6583","0.6503","-0.82"
"May 31, 2013","0.6580","0.6565","0.6605","0.6560","0.23"
"May 30, 2013","0.6565","0.6608","0.6619","0.6561","-0.67"
"May 29, 2013","0.6609","0.6648","0.6663","0.6602","-0.59"
"May 28, 2013","0.6648","0.6621","0.6655","0.6607","0.39"
"May 27, 2013","0.6622","0.6606","0.6628","0.6597","0.17"
"May 24, 2013","0.6611","0.6619","0.6639","0.6603","-0.12"
"May 23, 2013","0.6619","0.6645","0.6660","0.6609","-0.39"
"May 22, 2013","0.6645","0.6598","0.6657","0.6589","0.70"
"May 21, 2013","0.6599","0.6555","0.6617","0.6545","0.67"
"May 20, 2013","0.6555","0.6590","0.6594","0.6543","-0.56"
"May 17, 2013","0.6592","0.6548","0.6597","0.6542","0.66"
"May 16, 2013","0.6549","0.6562","0.6581","0.6525","-0.23"
"May 15, 2013","0.6564","0.6575","0.6591","0.6547","-0.15"
"May 14, 2013","0.6574","0.6536","0.6576","0.6522","0.58"
"May 13, 2013","0.6536","0.6506","0.6545","0.6499","0.41"
"May 10, 2013","0.6509","0.6472","0.6531","0.6468","0.57"
"May 09, 2013","0.6472","0.6436","0.6482","0.6415","0.53"
"May 08, 2013","0.6438","0.6457","0.6464","0.6413","-0.31"
"May 07, 2013","0.6458","0.6433","0.6473","0.6429","0.37"
"May 06, 2013","0.6434","0.6421","0.6443","0.6410","0.20"
"May 03, 2013","0.6421","0.6436","0.6460","0.6409","-0.25"
"May 02, 2013","0.6437","0.6428","0.6454","0.6413","0.12"
"May 01, 2013","0.6429","0.6437","0.6441","0.6407","-0.14"
"Apr 30, 2013","0.6438","0.6451","0.6465","0.6423","-0.20"
"Apr 29, 2013","0.6451","0.6457","0.6462","0.6431","-0.15"
