"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","102.44","102.30","102.60","102.09","0.12"
"Nov 28, 2013","102.32","102.13","102.37","101.91","0.15"
"Nov 27, 2013","102.17","101.26","102.19","101.16","0.86"
"Nov 26, 2013","101.30","101.67","101.71","101.13","-0.37"
"Nov 25, 2013","101.68","101.25","101.91","101.11","0.39"
"Nov 22, 2013","101.28","101.15","101.35","100.92","0.12"
"Nov 21, 2013","101.16","100.02","101.16","99.98","1.13"
"Nov 20, 2013","100.03","100.12","100.23","99.77","-0.12"
"Nov 19, 2013","100.15","99.97","100.25","99.55","0.15"
"Nov 18, 2013","100.00","100.16","100.39","99.77","-0.19"
"Nov 15, 2013","100.19","100.00","100.43","99.93","0.17"
"Nov 14, 2013","100.02","99.22","100.15","99.11","0.78"
"Nov 13, 2013","99.25","99.60","99.67","99.08","-0.39"
"Nov 12, 2013","99.64","99.13","99.79","99.07","0.48"
"Nov 11, 2013","99.16","99.16","99.30","98.89","0.08"
"Nov 08, 2013","99.08","98.08","99.21","97.96","1.01"
"Nov 07, 2013","98.09","98.65","99.41","97.63","-0.58"
"Nov 06, 2013","98.66","98.49","98.75","98.38","0.16"
"Nov 05, 2013","98.50","98.59","98.67","98.14","-0.11"
"Nov 04, 2013","98.61","98.70","98.84","98.51","-0.08"
"Nov 01, 2013","98.69","98.33","98.84","97.79","0.34"
"Oct 31, 2013","98.36","98.50","98.57","98.07","-0.15"
"Oct 30, 2013","98.51","98.17","98.67","98.05","0.33"
"Oct 29, 2013","98.19","97.65","98.27","97.43","0.52"
"Oct 28, 2013","97.68","97.55","97.79","97.43","0.27"
"Oct 25, 2013","97.42","97.27","97.49","96.92","0.14"
"Oct 24, 2013","97.28","97.37","97.61","97.15","-0.10"
"Oct 23, 2013","97.38","98.12","98.19","97.13","-0.77"
"Oct 22, 2013","98.14","98.17","98.48","97.86","-0.05"
"Oct 21, 2013","98.19","97.70","98.24","97.66","0.47"
"Oct 18, 2013","97.73","97.90","98.15","97.53","-0.18"
"Oct 17, 2013","97.91","98.76","99.00","97.71","-0.87"
"Oct 16, 2013","98.77","98.15","98.97","98.12","0.61"
"Oct 15, 2013","98.17","98.55","98.70","98.07","-0.42"
"Oct 14, 2013","98.58","98.07","98.58","98.05","0.00"
"Oct 11, 2013","98.58","98.13","98.59","97.90","0.43"
"Oct 10, 2013","98.16","97.33","98.27","97.30","0.84"
"Oct 09, 2013","97.34","96.86","97.65","96.79","0.47"
