"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","6.1292","6.0862","6.1374","6.0805","0.67"
"Nov 28, 2013","6.0886","6.1050","6.1110","6.0809","-0.30"
"Nov 27, 2013","6.1070","6.0916","6.1132","6.0588","0.21"
"Nov 26, 2013","6.0941","6.1019","6.1331","6.0824","-0.18"
"Nov 25, 2013","6.1048","6.0591","6.1395","6.0556","0.66"
"Nov 22, 2013","6.0649","6.0904","6.1035","6.0527","-0.44"
"Nov 21, 2013","6.0915","6.1089","6.1396","6.0821","-0.41"
"Nov 20, 2013","6.1166","6.0878","6.1325","6.0672","0.44"
"Nov 19, 2013","6.0898","6.1226","6.1330","6.0675","-0.56"
"Nov 18, 2013","6.1244","6.1059","6.1262","6.1004","0.28"
"Nov 15, 2013","6.1075","6.1525","6.1670","6.1004","-0.77"
"Nov 14, 2013","6.1550","6.1647","6.2107","6.1489","-0.19"
"Nov 13, 2013","6.1666","6.1925","6.2201","6.1587","-0.42"
"Nov 12, 2013","6.1925","6.1451","6.2218","6.1410","0.76"
"Nov 11, 2013","6.1457","6.1677","6.1754","6.1169","0.16"
"Nov 08, 2013","6.1357","6.0435","6.1803","6.0364","1.49"
"Nov 07, 2013","6.0455","5.9518","6.0604","5.9478","1.53"
"Nov 06, 2013","5.9545","5.9878","5.9892","5.9446","-0.59"
"Nov 05, 2013","5.9899","5.9467","5.9940","5.9401","0.68"
"Nov 04, 2013","5.9494","5.9657","5.9830","5.9315","-0.41"
"Nov 01, 2013","5.9738","5.9411","5.9757","5.9300","0.53"
"Oct 31, 2013","5.9421","5.8963","5.9545","5.8920","0.77"
"Oct 30, 2013","5.8969","5.8961","5.9186","5.8603","-0.02"
"Oct 29, 2013","5.8978","5.8972","5.9136","5.8769","-0.04"
"Oct 28, 2013","5.9000","5.8858","5.9055","5.8664","0.11"
"Oct 25, 2013","5.8938","5.8923","5.9125","5.8761","0.01"
"Oct 24, 2013","5.8930","5.9170","5.9218","5.8769","-0.45"
"Oct 23, 2013","5.9195","5.8967","5.9240","5.8868","0.33"
"Oct 22, 2013","5.9002","5.9189","5.9508","5.8814","-0.35"
"Oct 21, 2013","5.9210","5.8970","5.9276","5.8949","0.38"
"Oct 18, 2013","5.8985","5.9275","5.9372","5.8950","-0.56"
"Oct 17, 2013","5.9315","5.9919","6.0010","5.9123","-1.02"
"Oct 16, 2013","5.9928","6.0229","6.0309","5.9885","-0.48"
"Oct 15, 2013","6.0217","5.9730","6.0392","5.9680","0.78"
"Oct 14, 2013","5.9750","5.9994","6.0080","5.9658","-0.42"
"Oct 11, 2013","6.0000","6.0360","6.0407","5.9878","-0.65"
"Oct 10, 2013","6.0395","5.9923","6.0700","5.9900","0.76"
"Oct 09, 2013","5.9937","5.9701","6.0147","5.9560","0.35"
"Oct 08, 2013","5.9726","5.9668","5.9830","5.9431","0.07"
"Oct 07, 2013","5.9685","5.9665","5.9967","5.9570","-0.04"
"Oct 04, 2013","5.9709","5.9531","5.9803","5.9416","0.27"
"Oct 03, 2013","5.9546","6.0091","6.0155","5.9424","-0.93"
"Oct 02, 2013","6.0108","5.9951","6.0285","5.9743","0.21"
"Oct 01, 2013","5.9982","6.0107","6.0225","5.9463","-0.26"
"Sep 30, 2013","6.0138","6.0036","6.0268","5.9826","0.41"
"Sep 27, 2013","5.9890","5.9789","6.0078","5.9653","0.12"
"Sep 26, 2013","5.9818","6.0052","6.0120","5.9669","-0.42"
"Sep 25, 2013","6.0068","5.9730","6.0464","5.9625","0.52"
"Sep 24, 2013","5.9757","5.9107","5.9930","5.9024","0.97"
"Sep 23, 2013","5.9185","5.9200","5.9266","5.8885","-0.27"
"Sep 20, 2013","5.9347","5.8273","5.9460","5.8143","1.80"
"Sep 19, 2013","5.8299","5.8177","5.8379","5.7516","0.17"
"Sep 18, 2013","5.8198","5.9042","5.9226","5.8094","-1.49"
"Sep 17, 2013","5.9076","5.9100","5.9192","5.8809","-0.08"
"Sep 16, 2013","5.9123","5.9225","5.9230","5.8809","-0.32"
"Sep 13, 2013","5.9315","5.8820","5.9432","5.8780","0.82"
"Sep 12, 2013","5.8834","5.9109","5.9283","5.8746","-0.47"
"Sep 11, 2013","5.9113","5.9175","5.9373","5.9007","-0.14"
"Sep 10, 2013","5.9193","6.0070","6.0381","5.9128","-1.51"
"Sep 09, 2013","6.0100","6.0786","6.0924","6.0049","-1.18"
"Sep 06, 2013","6.0815","6.1220","6.1330","6.0598","-0.69"
"Sep 05, 2013","6.1240","6.0575","6.1400","6.0550","1.06"
"Sep 04, 2013","6.0595","6.0682","6.0925","6.0547","-0.18"
"Sep 03, 2013","6.0707","6.0821","6.0936","6.0622","-0.19"
"Sep 02, 2013","6.0825","6.1055","6.1224","6.0535","-0.51"
"Aug 30, 2013","6.1138","6.0897","6.1307","6.0826","0.37"
"Aug 29, 2013","6.0912","6.0474","6.1105","6.0397","0.70"
"Aug 28, 2013","6.0488","6.0150","6.0702","6.0052","0.51"
"Aug 27, 2013","6.0179","6.0350","6.0687","5.9961","-0.33"
"Aug 26, 2013","6.0381","6.0141","6.0543","6.0026","0.32"
"Aug 23, 2013","6.0191","6.1033","6.1144","6.0100","-1.42"
"Aug 22, 2013","6.1058","6.0790","6.1233","6.0587","0.39"
"Aug 21, 2013","6.0819","5.9523","6.0878","5.9471","2.14"
"Aug 20, 2013","5.9546","5.9167","5.9943","5.9092","0.60"
"Aug 19, 2013","5.9188","5.9151","5.9273","5.8978","0.03"
"Aug 16, 2013","5.9169","5.9079","5.9251","5.8942","0.15"
"Aug 15, 2013","5.9083","5.8914","5.9666","5.8626","0.26"
"Aug 14, 2013","5.8928","5.8843","5.9070","5.8763","0.09"
"Aug 13, 2013","5.8873","5.8673","5.9132","5.8465","0.28"
"Aug 12, 2013","5.8708","5.8489","5.8817","5.8433","0.32"
"Aug 09, 2013","5.8518","5.9046","5.9220","5.8354","-0.94"
"Aug 08, 2013","5.9071","5.8979","5.9127","5.8859","0.13"
"Aug 07, 2013","5.8994","5.9171","5.9474","5.8945","-0.33"
"Aug 06, 2013","5.9189","5.9223","5.9413","5.9025","-0.08"
"Aug 05, 2013","5.9237","5.9377","5.9540","5.8996","-0.27"
"Aug 02, 2013","5.9400","5.9458","5.9690","5.9137","-0.14"
"Aug 01, 2013","5.9482","5.8893","5.9570","5.8849","0.95"
"Jul 31, 2013","5.8921","5.9344","5.9566","5.8751","-0.76"
"Jul 30, 2013","5.9371","5.9352","5.9560","5.9184","-0.02"
"Jul 29, 2013","5.9382","5.8992","5.9420","5.8915","0.53"
"Jul 26, 2013","5.9066","5.9007","5.9370","5.8835","0.04"
"Jul 25, 2013","5.9041","5.9244","5.9518","5.8949","-0.39"
"Jul 24, 2013","5.9271","5.8719","5.9412","5.8683","0.89"
"Jul 23, 2013","5.8749","5.9310","5.9438","5.8640","-0.99"
"Jul 22, 2013","5.9337","5.9657","5.9763","5.9192","-0.61"
"Jul 19, 2013","5.9703","5.9802","6.0000","5.9585","-0.23"
"Jul 18, 2013","5.9840","5.9881","6.0114","5.9737","-0.04"
"Jul 17, 2013","5.9864","5.9861","6.0172","5.9600","-0.05"
"Jul 16, 2013","5.9892","6.0590","6.0747","5.9799","-1.19"
"Jul 15, 2013","6.0615","6.0571","6.0984","6.0469","-0.11"
"Jul 12, 2013","6.0684","6.0580","6.0851","6.0225","0.13"
"Jul 11, 2013","6.0605","6.0846","6.1076","5.9955","-0.43"
"Jul 10, 2013","6.0866","6.1757","6.1940","6.0798","-1.51"
"Jul 09, 2013","6.1800","6.1418","6.2062","6.1200","0.64"
"Jul 08, 2013","6.1408","6.2542","6.2631","6.1365","-1.75"
"Jul 05, 2013","6.2499","6.1069","6.2641","6.0964","2.31"
"Jul 04, 2013","6.1089","6.1098","6.1404","6.0858","-0.05"
"Jul 03, 2013","6.1118","6.1130","6.1410","6.0787","-0.04"
"Jul 02, 2013","6.1145","6.0897","6.1263","6.0702","0.36"
"Jul 01, 2013","6.0923","6.0682","6.1011","6.0477","0.38"
"Jun 28, 2013","6.0690","6.0429","6.1065","6.0109","0.40"
"Jun 27, 2013","6.0448","6.1083","6.1096","6.0180","-1.05"
"Jun 26, 2013","6.1090","6.0887","6.1156","6.0535","0.30"
"Jun 25, 2013","6.0905","6.1320","6.1376","6.0701","-0.72"
"Jun 24, 2013","6.1345","6.0609","6.1724","6.0548","1.25"
"Jun 21, 2013","6.0590","5.9953","6.1069","5.9609","1.01"
"Jun 20, 2013","5.9985","5.7695","6.0385","5.7671","3.91"
"Jun 19, 2013","5.7730","5.7348","5.7804","5.7116","0.64"
"Jun 18, 2013","5.7364","5.7241","5.7734","5.7201","0.22"
"Jun 17, 2013","5.7239","5.7146","5.7427","5.7035","0.13"
"Jun 14, 2013","5.7167","5.7384","5.7532","5.7058","-0.43"
"Jun 13, 2013","5.7412","5.7546","5.7864","5.7327","-0.28"
"Jun 12, 2013","5.7573","5.7736","5.7825","5.7302","-0.31"
"Jun 11, 2013","5.7754","5.7600","5.8140","5.7462","0.25"
"Jun 10, 2013","5.7610","5.7734","5.7916","5.7468","-0.13"
"Jun 07, 2013","5.7685","5.7447","5.7832","5.7338","0.39"
"Jun 06, 2013","5.7463","5.8068","5.8212","5.7290","-1.10"
"Jun 05, 2013","5.8103","5.8090","5.8300","5.7960","-0.02"
"Jun 04, 2013","5.8115","5.8028","5.8261","5.7967","0.12"
"Jun 03, 2013","5.8048","5.8684","5.8745","5.7886","-1.10"
"May 31, 2013","5.8693","5.8221","5.8890","5.8188","0.78"
"May 30, 2013","5.8238","5.8974","5.8992","5.8166","-1.29"
"May 29, 2013","5.9000","5.8959","5.9042","5.8501","0.04"
"May 28, 2013","5.8975","5.8444","5.8991","5.8267","0.87"
"May 27, 2013","5.8464","5.8260","5.8483","5.8170","0.24"
"May 24, 2013","5.8325","5.8264","5.8395","5.7986","0.05"
"May 23, 2013","5.8295","5.8115","5.8536","5.8112","0.25"
"May 22, 2013","5.8150","5.7875","5.8292","5.7465","0.43"
"May 21, 2013","5.7903","5.8316","5.8508","5.7705","-0.76"
"May 20, 2013","5.8348","5.8514","5.8647","5.8219","-0.32"
"May 17, 2013","5.8537","5.8311","5.8843","5.8220","0.32"
"May 16, 2013","5.8348","5.8449","5.8780","5.8017","-0.22"
"May 15, 2013","5.8474","5.8320","5.8720","5.8213","0.21"
"May 14, 2013","5.8353","5.7999","5.8406","5.7730","0.57"
"May 13, 2013","5.8021","5.8010","5.8261","5.7841","0.17"
"May 10, 2013","5.7925","5.7790","5.8250","5.7650","0.19"
"May 09, 2013","5.7816","5.7470","5.7960","5.7183","0.56"
"May 08, 2013","5.7492","5.8404","5.8557","5.7312","-1.63"
"May 07, 2013","5.8445","5.8340","5.8541","5.8152","0.15"
"May 06, 2013","5.8355","5.8022","5.8380","5.7906","0.54"
"May 03, 2013","5.8040","5.7986","5.8321","5.7730","0.03"
"May 02, 2013","5.8022","5.7653","5.8055","5.7371","0.58"
"May 01, 2013","5.7685","5.7668","5.7731","5.7178","-0.04"
"Apr 30, 2013","5.7706","5.8092","5.8412","5.7520","-0.73"
"Apr 29, 2013","5.8130","5.8511","5.8542","5.7981","-0.63"
"Apr 26, 2013","5.8500","5.8691","5.8780","5.8403","-0.38"
"Apr 25, 2013","5.8724","5.8980","5.9004","5.8402","-0.46"
"Apr 24, 2013","5.8997","5.9131","5.9345","5.8860","-0.26"
"Apr 23, 2013","5.9149","5.8425","5.9251","5.8402","1.20"
"Apr 22, 2013","5.8448","5.8089","5.8665","5.8009","0.39"
"Apr 19, 2013","5.8220","5.8197","5.8250","5.7791","0.02"
"Apr 18, 2013","5.8209","5.7978","5.8350","5.7772","0.34"
"Apr 17, 2013","5.8011","5.7200","5.8155","5.7141","1.35"
"Apr 16, 2013","5.7236","5.7554","5.7763","5.7107","-0.49"
"Apr 15, 2013","5.7515","5.7129","5.7636","5.7077","0.75"
"Apr 12, 2013","5.7085","5.7049","5.7401","5.6936","0.02"
"Apr 11, 2013","5.7073","5.7402","5.7576","5.6880","-0.61"
"Apr 10, 2013","5.7424","5.7048","5.7531","5.6986","0.57"
"Apr 09, 2013","5.7096","5.7379","5.7503","5.7023","-0.57"
"Apr 08, 2013","5.7424","5.7332","5.7497","5.7145","0.24"
"Apr 05, 2013","5.7287","5.7749","5.7889","5.7079","-0.86"
"Apr 04, 2013","5.7785","5.8076","5.8434","5.7701","-0.56"
"Apr 03, 2013","5.8110","5.8129","5.8261","5.7934","-0.08"
"Apr 02, 2013","5.8156","5.8240","5.8292","5.8000","-0.19"
"Apr 01, 2013","5.8265","5.8442","5.8650","5.8053","-0.36"
"Mar 29, 2013","5.8476","5.8403","5.8509","5.8260","0.08"
"Mar 28, 2013","5.8427","5.8473","5.8805","5.8281","-0.12"
"Mar 27, 2013","5.8499","5.8248","5.8615","5.8130","0.39"
"Mar 26, 2013","5.8273","5.8438","5.8483","5.8138","-0.29"
"Mar 25, 2013","5.8445","5.8099","5.8541","5.7750","0.71"
"Mar 22, 2013","5.8032","5.8380","5.8523","5.7929","-0.63"
"Mar 21, 2013","5.8399","5.8450","5.8574","5.8276","-0.14"
"Mar 20, 2013","5.8479","5.8348","5.8517","5.8115","0.18"
"Mar 19, 2013","5.8373","5.7840","5.8502","5.7801","0.88"
"Mar 18, 2013","5.7863","5.7969","5.8185","5.7684","0.45"
"Mar 15, 2013","5.7601","5.7900","5.8127","5.7457","-0.57"
"Mar 14, 2013","5.7931","5.7381","5.8250","5.7286","0.92"
"Mar 13, 2013","5.7401","5.7049","5.7656","5.6856","0.53"
"Mar 12, 2013","5.7098","5.7180","5.7372","5.6875","-0.20"
"Mar 11, 2013","5.7214","5.7302","5.7377","5.7144","-0.07"
"Mar 08, 2013","5.7254","5.6648","5.7385","5.6574","1.03"
"Mar 07, 2013","5.6673","5.7230","5.7233","5.6591","-1.00"
"Mar 06, 2013","5.7247","5.6945","5.7247","5.6810","0.49"
"Mar 05, 2013","5.6967","5.7109","5.7183","5.6900","-0.29"
"Mar 04, 2013","5.7130","5.7470","5.7578","5.7080","-0.73"
"Mar 01, 2013","5.7550","5.7367","5.7832","5.7175","0.29"
"Feb 28, 2013","5.7381","5.6850","5.7400","5.6776","0.85"
"Feb 27, 2013","5.6895","5.6995","5.7180","5.6815","-0.25"
"Feb 26, 2013","5.7038","5.7010","5.7238","5.6820","-0.03"
"Feb 25, 2013","5.7054","5.6562","5.7126","5.6059","0.71"
"Feb 22, 2013","5.6651","5.6727","5.6870","5.6462","-0.19"
"Feb 21, 2013","5.6760","5.5938","5.7003","5.5901","1.39"
"Feb 20, 2013","5.5983","5.5328","5.6034","5.5154","1.14"
"Feb 19, 2013","5.5354","5.5534","5.5646","5.5287","-0.36"
"Feb 18, 2013","5.5552","5.5433","5.5677","5.5391","0.19"
"Feb 15, 2013","5.5447","5.5353","5.5669","5.5262","0.13"
"Feb 14, 2013","5.5377","5.4760","5.5550","5.4712","1.10"
"Feb 13, 2013","5.4772","5.4821","5.4939","5.4531","-0.11"
"Feb 12, 2013","5.4832","5.5010","5.5164","5.4783","-0.37"
"Feb 11, 2013","5.5035","5.5399","5.5420","5.4940","-0.61"
"Feb 08, 2013","5.5370","5.5190","5.5481","5.5032","0.30"
"Feb 07, 2013","5.5205","5.4975","5.5340","5.4738","0.37"
"Feb 06, 2013","5.5000","5.4741","5.5035","5.4665","0.44"
"Feb 05, 2013","5.4761","5.4750","5.4997","5.4615","-0.02"
"Feb 04, 2013","5.4773","5.4532","5.4870","5.4396","0.37"
"Feb 01, 2013","5.4572","5.4636","5.4724","5.4262","-0.17"
"Jan 31, 2013","5.4667","5.4732","5.4952","5.4570","-0.18"
"Jan 30, 2013","5.4765","5.4914","5.5047","5.4649","-0.35"
"Jan 29, 2013","5.4960","5.5310","5.5411","5.4878","-0.68"
"Jan 28, 2013","5.5335","5.5248","5.5468","5.5160","0.17"
"Jan 25, 2013","5.5242","5.5239","5.5430","5.5024","-0.05"
"Jan 24, 2013","5.5270","5.5552","5.5734","5.5185","-0.57"
"Jan 23, 2013","5.5586","5.5758","5.5883","5.5414","-0.35"
"Jan 22, 2013","5.5780","5.6053","5.6100","5.5692","-0.53"
"Jan 21, 2013","5.6079","5.6045","5.6114","5.5832","0.11"
"Jan 18, 2013","5.6017","5.5641","5.6225","5.5593","0.62"
"Jan 17, 2013","5.5673","5.5676","5.5754","5.5278","-0.07"
"Jan 16, 2013","5.5710","5.5670","5.6009","5.5594","0.04"
"Jan 15, 2013","5.5690","5.5013","5.5903","5.4980","1.19"
"Jan 14, 2013","5.5034","5.5179","5.5235","5.4966","-0.48"
"Jan 11, 2013","5.5301","5.5215","5.5491","5.5112","0.12"
"Jan 10, 2013","5.5236","5.5929","5.6044","5.5186","-1.29"
"Jan 09, 2013","5.5960","5.6010","5.6174","5.5847","-0.12"
"Jan 08, 2013","5.6029","5.5829","5.6091","5.5713","0.31"
"Jan 07, 2013","5.5854","5.6003","5.6225","5.5792","-0.35"
"Jan 04, 2013","5.6050","5.5845","5.6176","5.5781","0.34"
"Jan 03, 2013","5.5858","5.5435","5.5861","5.5408","0.73"
"Jan 02, 2013","5.5455","5.5565","5.5640","5.5089","-0.25"
"Jan 01, 2013","5.5595","5.5618","5.5632","5.5512","-0.13"
"Dec 31, 2012","5.5665","5.5872","5.5982","5.5516","-0.42"
"Dec 28, 2012","5.5898","5.5734","5.6020","5.5595","0.26"
"Dec 27, 2012","5.5754","5.5880","5.5930","5.5511","-0.28"
"Dec 26, 2012","5.5910","5.6019","5.6060","5.5695","-0.24"
"Dec 25, 2012","5.6045","5.6035","5.6095","5.5993","-0.02"
"Dec 24, 2012","5.6055","5.5716","5.6116","5.5516","0.50"
"Dec 21, 2012","5.5778","5.5546","5.5816","5.5439","0.38"
"Dec 20, 2012","5.5567","5.5713","5.5825","5.5405","-0.28"
"Dec 19, 2012","5.5725","5.5953","5.6048","5.5253","-0.44"
"Dec 18, 2012","5.5974","5.6083","5.6143","5.5859","-0.25"
"Dec 17, 2012","5.6115","5.6210","5.6304","5.5893","-0.19"
"Dec 14, 2012","5.6223","5.6260","5.6420","5.6023","-0.10"
"Dec 13, 2012","5.6279","5.6175","5.6306","5.6049","0.15"
"Dec 12, 2012","5.6195","5.6454","5.6516","5.6070","-0.51"
"Dec 11, 2012","5.6481","5.6687","5.6736","5.6422","-0.40"
"Dec 10, 2012","5.6707","5.6720","5.6921","5.6599","-0.07"
"Dec 07, 2012","5.6746","5.6505","5.6905","5.6474","0.38"
"Dec 06, 2012","5.6530","5.6232","5.6594","5.6054","0.48"
"Dec 05, 2012","5.6262","5.6185","5.6344","5.6047","0.10"
"Dec 04, 2012","5.6207","5.6360","5.6390","5.6060","-0.32"
"Dec 03, 2012","5.6385","5.6633","5.6772","5.6231","-0.53"
"Nov 30, 2012","5.6686","5.6833","5.6885","5.6560","-0.31"
"Nov 29, 2012","5.6863","5.6650","5.6947","5.6419","0.34"
"Nov 28, 2012","5.6672","5.6855","5.7020","5.6636","-0.37"
"Nov 27, 2012","5.6880","5.6470","5.7021","5.6294","0.67"
"Nov 26, 2012","5.6500","5.6496","5.6750","5.6340","-0.17"
