"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","1.2300","1.2312","1.2374","1.2240","-0.14"
"Nov 28, 2013","1.2317","1.2268","1.2329","1.2223","0.40"
"Nov 27, 2013","1.2268","1.2198","1.2323","1.2173","0.52"
"Nov 26, 2013","1.2204","1.2179","1.2267","1.2095","0.16"
"Nov 25, 2013","1.2184","1.2210","1.2245","1.2146","-0.16"
"Nov 22, 2013","1.2203","1.2183","1.2310","1.2124","0.12"
"Nov 21, 2013","1.2188","1.2085","1.2231","1.2077","0.83"
"Nov 20, 2013","1.2088","1.1942","1.2121","1.1906","1.17"
"Nov 19, 2013","1.1948","1.1995","1.2037","1.1935","-0.42"
"Nov 18, 2013","1.1998","1.1993","1.2008","1.1892","0.08"
"Nov 15, 2013","1.1989","1.2085","1.2096","1.1980","-0.81"
"Nov 14, 2013","1.2087","1.2058","1.2152","1.1962","0.19"
"Nov 13, 2013","1.2064","1.2161","1.2206","1.2051","-0.81"
"Nov 12, 2013","1.2163","1.2112","1.2242","1.2095","0.38"
"Nov 11, 2013","1.2117","1.2118","1.2157","1.2060","-0.08"
"Nov 08, 2013","1.2127","1.2011","1.2166","1.1973","0.93"
"Nov 07, 2013","1.2015","1.1937","1.2043","1.1906","0.65"
"Nov 06, 2013","1.1938","1.1949","1.1974","1.1878","-0.14"
"Nov 05, 2013","1.1955","1.2064","1.2116","1.1946","-0.96"
"Nov 04, 2013","1.2071","1.2107","1.2138","1.2024","-0.20"
"Nov 01, 2013","1.2095","1.2098","1.2184","1.2063","-0.07"
"Oct 31, 2013","1.2103","1.2090","1.2152","1.2028","0.05"
"Oct 30, 2013","1.2097","1.2108","1.2208","1.2061","-0.12"
"Oct 29, 2013","1.2112","1.2041","1.2149","1.2031","0.55"
"Oct 28, 2013","1.2046","1.2088","1.2096","1.1989","-0.26"
"Oct 25, 2013","1.2077","1.1966","1.2088","1.1952","0.91"
"Oct 24, 2013","1.1968","1.1908","1.2021","1.1836","0.44"
"Oct 23, 2013","1.1915","1.1740","1.1970","1.1727","1.45"
"Oct 22, 2013","1.1745","1.1826","1.1855","1.1700","-0.69"
"Oct 21, 2013","1.1827","1.1745","1.1858","1.1745","0.55"
"Oct 18, 2013","1.1762","1.1781","1.1842","1.1738","-0.20"
"Oct 17, 2013","1.1785","1.1867","1.1885","1.1725","-0.69"
"Oct 16, 2013","1.1867","1.1935","1.1952","1.1834","-0.63"
"Oct 15, 2013","1.1942","1.1962","1.1982","1.1893","-0.20"
"Oct 14, 2013","1.1966","1.2029","1.2077","1.1925","-0.41"
"Oct 11, 2013","1.2015","1.2069","1.2105","1.1963","-0.47"
"Oct 10, 2013","1.2072","1.2037","1.2157","1.2019","0.26"
"Oct 09, 2013","1.2041","1.2060","1.2089","1.2015","-0.19"
"Oct 08, 2013","1.2064","1.2037","1.2096","1.1993","0.19"
"Oct 07, 2013","1.2041","1.2005","1.2095","1.1992","0.13"
"Oct 04, 2013","1.2025","1.2055","1.2080","1.1970","-0.27"
"Oct 03, 2013","1.2058","1.1996","1.2089","1.1980","0.43"
"Oct 02, 2013","1.2006","1.2077","1.2204","1.1993","-0.65"
"Oct 01, 2013","1.2084","1.2045","1.2126","1.1983","0.17"
"Sep 30, 2013","1.2064","1.2073","1.2126","1.1995","-0.06"
"Sep 27, 2013","1.2071","1.2060","1.2127","1.2015","0.07"
"Sep 26, 2013","1.2062","1.2132","1.2142","1.2041","-0.59"
"Sep 25, 2013","1.2134","1.2069","1.2174","1.2066","0.51"
"Sep 24, 2013","1.2073","1.1940","1.2115","1.1923","1.10"
"Sep 23, 2013","1.1942","1.1983","1.1988","1.1913","-0.07"
"Sep 20, 2013","1.1950","1.1937","1.1976","1.1899","0.08"
"Sep 19, 2013","1.1941","1.1943","1.2013","1.1850","-0.04"
"Sep 18, 2013","1.1946","1.2136","1.2191","1.1919","-1.58"
"Sep 17, 2013","1.2138","1.2232","1.2260","1.2117","-0.81"
"Sep 16, 2013","1.2237","1.2291","1.2308","1.2145","-0.50"
"Sep 13, 2013","1.2298","1.2288","1.2363","1.2235","0.07"
"Sep 12, 2013","1.2289","1.2367","1.2376","1.2253","-0.69"
"Sep 11, 2013","1.2374","1.2393","1.2446","1.2352","-0.17"
"Sep 10, 2013","1.2395","1.2463","1.2489","1.2378","-0.63"
"Sep 09, 2013","1.2474","1.2497","1.2564","1.2441","-0.22"
"Sep 06, 2013","1.2502","1.2679","1.2688","1.2460","-1.44"
"Sep 05, 2013","1.2685","1.2645","1.2733","1.2626","0.28"
"Sep 04, 2013","1.2649","1.2816","1.2833","1.2609","-1.33"
"Sep 03, 2013","1.2819","1.2798","1.2863","1.2742","0.11"
"Sep 02, 2013","1.2805","1.2895","1.2914","1.2760","-1.06"
