"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","3.0950","3.0834","3.0960","3.0752","0.31"
"Nov 28, 2013","3.0854","3.0919","3.1023","3.0799","-0.27"
"Nov 27, 2013","3.0939","3.0940","3.1023","3.0849","-0.09"
"Nov 26, 2013","3.0966","3.1048","3.1081","3.0888","-0.33"
"Nov 25, 2013","3.1067","3.0960","3.1113","3.0880","0.37"
"Nov 22, 2013","3.0952","3.1096","3.1184","3.0890","-0.53"
"Nov 21, 2013","3.1116","3.1182","3.1291","3.1038","-0.24"
"Nov 20, 2013","3.1192","3.0893","3.1261","3.0750","0.97"
"Nov 19, 2013","3.0892","3.0891","3.1023","3.0797","-0.06"
"Nov 18, 2013","3.0911","3.1000","3.1084","3.0811","-0.39"
"Nov 15, 2013","3.1032","3.1126","3.1193","3.0937","-0.37"
"Nov 14, 2013","3.1146","3.1102","3.1226","3.1018","0.08"
"Nov 13, 2013","3.1122","3.1288","3.1361","3.1042","-0.59"
"Nov 12, 2013","3.1308","3.1405","3.1534","3.1204","-0.38"
"Nov 11, 2013","3.1429","3.1305","3.1469","3.1235","0.48"
"Nov 08, 2013","3.1279","3.1251","3.1485","3.1069","0.06"
"Nov 07, 2013","3.1259","3.0854","3.1293","3.0775","1.25"
"Nov 06, 2013","3.0873","3.1041","3.1076","3.0730","-0.61"
"Nov 05, 2013","3.1061","3.0922","3.1119","3.0849","0.35"
"Nov 04, 2013","3.0954","3.1058","3.1176","3.0850","-0.57"
"Nov 01, 2013","3.1132","3.0792","3.1168","3.0720","0.96"
"Oct 31, 2013","3.0835","3.0436","3.0837","3.0371","1.28"
"Oct 30, 2013","3.0445","3.0450","3.0539","3.0237","-0.05"
"Oct 29, 2013","3.0461","3.0334","3.0488","3.0259","0.41"
"Oct 28, 2013","3.0337","3.0286","3.0382","3.0207","0.17"
"Oct 25, 2013","3.0286","3.0278","3.0407","3.0173","-0.04"
"Oct 24, 2013","3.0299","3.0354","3.0398","3.0196","-0.24"
"Oct 23, 2013","3.0373","3.0202","3.0404","3.0157","0.50"
"Oct 22, 2013","3.0223","3.0504","3.0598","3.0141","-0.99"
"Oct 21, 2013","3.0524","3.0463","3.0638","3.0382","0.16"
"Oct 18, 2013","3.0474","3.0454","3.0591","3.0396","0.00"
"Oct 17, 2013","3.0473","3.0760","3.0823","3.0409","-0.98"
"Oct 16, 2013","3.0776","3.0858","3.0911","3.0710","-0.29"
"Oct 15, 2013","3.0867","3.0822","3.1029","3.0741","0.08"
"Oct 14, 2013","3.0842","3.0892","3.0954","3.0727","-0.27"
"Oct 11, 2013","3.0926","3.0929","3.0987","3.0804","-0.07"
"Oct 10, 2013","3.0949","3.1031","3.1138","3.0871","-0.33"
"Oct 09, 2013","3.1050","3.0897","3.1147","3.0793","0.43"
"Oct 08, 2013","3.0917","3.0909","3.0980","3.0753","-0.04"
"Oct 07, 2013","3.0929","3.0957","3.1055","3.0819","-0.17"
"Oct 04, 2013","3.0982","3.0802","3.1050","3.0739","0.52"
"Oct 03, 2013","3.0822","3.1017","3.1056","3.0769","-0.69"
"Oct 02, 2013","3.1037","3.1165","3.1271","3.0924","-0.47"
