"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","33.1490","33.1480","33.2420","33.0630","-0.01"
"Nov 28, 2013","33.1520","33.1930","33.2150","33.0990","-0.10"
"Nov 27, 2013","33.1850","32.9600","33.2220","32.8690","0.70"
"Nov 26, 2013","32.9540","32.9110","33.0500","32.9000","0.10"
"Nov 25, 2013","32.9210","32.7660","33.0420","32.7230","0.54"
"Nov 22, 2013","32.7450","32.9780","33.0170","32.6990","-0.75"
"Nov 21, 2013","32.9930","32.9050","33.0870","32.5700","0.25"
"Nov 20, 2013","32.9100","32.7120","32.9700","32.6640","0.59"
"Nov 19, 2013","32.7160","32.5670","32.7680","32.5350","0.43"
"Nov 18, 2013","32.5760","32.5560","32.6000","32.4660","0.02"
"Nov 15, 2013","32.5710","32.7480","32.7580","32.5410","-0.55"
"Nov 14, 2013","32.7520","32.7510","32.7800","32.6080","-0.00"
"Nov 13, 2013","32.7530","32.8780","32.9300","32.7000","-0.34"
"Nov 12, 2013","32.8650","32.8410","32.9440","32.7600","0.10"
"Nov 11, 2013","32.8330","32.6250","32.8380","32.6250","0.53"
"Nov 08, 2013","32.6600","32.4440","32.7570","32.4190","0.62"
"Nov 07, 2013","32.4580","32.3920","32.4800","32.2640","0.26"
"Nov 06, 2013","32.3750","32.5450","32.5500","32.3110","-0.52"
"Nov 05, 2013","32.5450","32.3770","32.5950","32.3100","0.52"
"Nov 04, 2013","32.3780","32.4400","32.4700","32.2910","-0.26"
"Nov 01, 2013","32.4620","32.1000","32.4620","32.0680","1.18"
"Oct 31, 2013","32.0830","32.0180","32.1650","31.9910","0.26"
"Oct 30, 2013","32.0000","32.1120","32.1330","31.8900","-0.38"
"Oct 29, 2013","32.1230","31.9150","32.1250","31.8920","0.64"
"Oct 28, 2013","31.9180","31.8010","31.9450","31.7810","0.34"
"Oct 25, 2013","31.8110","31.6880","31.8350","31.6160","0.36"
"Oct 24, 2013","31.6980","31.7470","31.7860","31.6320","-0.17"
"Oct 23, 2013","31.7510","31.6750","31.8070","31.6460","0.20"
"Oct 22, 2013","31.6890","31.9550","32.0000","31.6400","-0.89"
"Oct 21, 2013","31.9750","31.8510","31.9750","31.8490","0.35"
"Oct 18, 2013","31.8650","31.8630","31.9550","31.7940","-0.01"
"Oct 17, 2013","31.8670","32.0780","32.1460","31.8260","-0.59"
"Oct 16, 2013","32.0570","32.2750","32.3050","32.0170","-0.76"
"Oct 15, 2013","32.3030","32.3010","32.3250","32.2050","0.07"
"Oct 14, 2013","32.2800","32.2950","32.3230","32.2200","0.17"
"Oct 11, 2013","32.2250","32.1860","32.3150","32.1700","0.16"
