"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","6.5653","6.5420","6.5882","6.5306","0.32"
"Nov 28, 2013","6.5441","6.5758","6.5880","6.5395","-0.53"
"Nov 27, 2013","6.5789","6.5742","6.5854","6.5420","0.06"
"Nov 26, 2013","6.5747","6.5684","6.5917","6.5301","0.07"
"Nov 25, 2013","6.5703","6.5690","6.5947","6.5590","-0.06"
"Nov 22, 2013","6.5742","6.6311","6.6501","6.5640","-0.88"
"Nov 21, 2013","6.6324","6.6415","6.6723","6.6201","-0.16"
"Nov 20, 2013","6.6431","6.6088","6.6554","6.5769","0.50"
"Nov 19, 2013","6.6101","6.6110","6.6387","6.5956","-0.06"
"Nov 18, 2013","6.6138","6.6280","6.6535","6.5811","-0.25"
"Nov 15, 2013","6.6307","6.6450","6.6584","6.6265","-0.27"
"Nov 14, 2013","6.6485","6.6385","6.6920","6.6340","0.13"
"Nov 13, 2013","6.6400","6.6519","6.7037","6.6355","-0.20"
"Nov 12, 2013","6.6534","6.5593","6.6632","6.5560","1.40"
"Nov 11, 2013","6.5613","6.5840","6.6081","6.5565","-0.48"
"Nov 08, 2013","6.5927","6.5309","6.6182","6.5200","0.92"
"Nov 07, 2013","6.5325","6.4960","6.5557","6.4634","0.53"
"Nov 06, 2013","6.4981","6.5249","6.5268","6.4789","-0.44"
"Nov 05, 2013","6.5265","6.5083","6.5409","6.4980","0.26"
"Nov 04, 2013","6.5098","6.5340","6.5549","6.4835","-0.42"
"Nov 01, 2013","6.5372","6.4797","6.5498","6.4680","0.84"
"Oct 31, 2013","6.4825","6.3870","6.4838","6.3870","1.47"
"Oct 30, 2013","6.3885","6.3800","6.4176","6.3590","0.08"
"Oct 29, 2013","6.3835","6.3437","6.3908","6.3315","0.61"
"Oct 28, 2013","6.3450","6.3080","6.3530","6.3070","0.41"
"Oct 25, 2013","6.3189","6.3508","6.3595","6.3119","-0.51"
"Oct 24, 2013","6.3513","6.3690","6.3847","6.3414","-0.34"
"Oct 23, 2013","6.3728","6.3664","6.3893","6.3571","0.08"
"Oct 22, 2013","6.3679","6.3926","6.4128","6.3507","-0.42"
"Oct 21, 2013","6.3947","6.4162","6.4365","6.3863","-0.31"
"Oct 18, 2013","6.4145","6.4009","6.4292","6.3854","0.20"
"Oct 17, 2013","6.4019","6.4823","6.4867","6.3866","-1.24"
"Oct 16, 2013","6.4825","6.4980","6.5161","6.4720","-0.26"
"Oct 15, 2013","6.4995","6.4611","6.5153","6.4446","0.55"
"Oct 14, 2013","6.4640","6.4690","6.4943","6.4495","-0.17"
"Oct 11, 2013","6.4751","6.5012","6.5126","6.4551","-0.46"
"Oct 10, 2013","6.5052","6.4633","6.5236","6.4570","0.62"
"Oct 09, 2013","6.4654","6.4327","6.4835","6.4140","0.48"
"Oct 08, 2013","6.4344","6.4128","6.4375","6.3967","0.31"
"Oct 07, 2013","6.4146","6.4192","6.4506","6.4097","-0.20"
"Oct 04, 2013","6.4273","6.3458","6.4322","6.3340","1.26"
"Oct 03, 2013","6.3473","6.3769","6.3826","6.3295","-0.53"
"Oct 02, 2013","6.3811","6.3574","6.4023","6.3539","0.32"
"Oct 01, 2013","6.3607","6.4294","6.4294","6.3389","-1.07"
"Sep 30, 2013","6.4295","6.4240","6.4488","6.3888","-0.05"
"Sep 27, 2013","6.4329","6.4135","6.4342","6.4026","0.29"
"Sep 26, 2013","6.4145","6.4164","6.4360","6.3982","-0.03"
"Sep 25, 2013","6.4164","6.3981","6.4431","6.3796","0.25"
"Sep 24, 2013","6.4001","6.3855","6.4199","6.3700","0.21"
"Sep 23, 2013","6.3868","6.3537","6.3898","6.3409","0.42"
"Sep 20, 2013","6.3600","6.3371","6.3796","6.3150","0.33"
"Sep 19, 2013","6.3388","6.3683","6.3784","6.3034","-0.49"
"Sep 18, 2013","6.3700","6.4622","6.4759","6.3567","-1.48"
"Sep 17, 2013","6.4656","6.5141","6.5221","6.4522","-0.74"
"Sep 16, 2013","6.5140","6.5460","6.5496","6.4759","-0.70"
"Sep 13, 2013","6.5596","6.5191","6.5730","6.5120","0.60"
"Sep 12, 2013","6.5205","6.5150","6.5528","6.5022","-0.01"
"Sep 11, 2013","6.5211","6.5425","6.5542","6.5139","-0.35"
"Sep 10, 2013","6.5438","6.5574","6.5760","6.5294","-0.25"
"Sep 09, 2013","6.5601","6.6120","6.6448","6.5459","-0.96"
"Sep 06, 2013","6.6235","6.6782","6.6900","6.6055","-0.82"
"Sep 05, 2013","6.6784","6.5900","6.6934","6.5880","1.32"
"Sep 04, 2013","6.5915","6.6168","6.6290","6.5879","-0.42"
"Sep 03, 2013","6.6195","6.6041","6.6280","6.5919","0.21"
"Sep 02, 2013","6.6058","6.6150","6.6340","6.5938","-0.23"
"Aug 30, 2013","6.6207","6.5866","6.6471","6.5796","0.48"
"Aug 29, 2013","6.5892","6.5037","6.6030","6.4955","1.27"
"Aug 28, 2013","6.5068","6.4839","6.5359","6.4664","0.30"
"Aug 27, 2013","6.4871","6.5080","6.5455","6.4817","-0.37"
"Aug 26, 2013","6.5112","6.4878","6.5334","6.4785","0.32"
"Aug 23, 2013","6.4904","6.5176","6.5484","6.4779","-0.46"
"Aug 22, 2013","6.5202","6.5683","6.5860","6.4997","-0.80"
"Aug 21, 2013","6.5725","6.4860","6.5744","6.4730","1.39"
"Aug 20, 2013","6.4822","6.5068","6.5357","6.4575","-0.40"
"Aug 19, 2013","6.5085","6.5060","6.5294","6.4926","-0.07"
"Aug 16, 2013","6.5130","6.5056","6.5274","6.4925","0.09"
"Aug 15, 2013","6.5071","6.5103","6.5693","6.4794","-0.10"
"Aug 14, 2013","6.5137","6.5330","6.5489","6.4961","-0.33"
"Aug 13, 2013","6.5354","6.5299","6.5582","6.5000","0.06"
"Aug 12, 2013","6.5314","6.4970","6.5406","6.4950","0.47"
"Aug 09, 2013","6.5011","6.4875","6.5091","6.4684","0.19"
"Aug 08, 2013","6.4890","6.5092","6.5210","6.4701","-0.33"
"Aug 07, 2013","6.5107","6.5497","6.5953","6.5057","-0.62"
"Aug 06, 2013","6.5510","6.5800","6.5873","6.5434","-0.46"
"Aug 05, 2013","6.5815","6.5910","6.6179","6.5747","-0.32"
"Aug 02, 2013","6.6025","6.6090","6.6556","6.5900","-0.12"
"Aug 01, 2013","6.6103","6.5145","6.6160","6.4925","1.45"
"Jul 31, 2013","6.5160","6.5536","6.6002","6.4809","-0.59"
"Jul 30, 2013","6.5546","6.4756","6.5716","6.4615","1.20"
"Jul 29, 2013","6.4770","6.4710","6.4931","6.4400","0.11"
"Jul 26, 2013","6.4700","6.4802","6.5007","6.4518","-0.19"
"Jul 25, 2013","6.4826","6.5032","6.5388","6.4712","-0.34"
"Jul 24, 2013","6.5047","6.4448","6.5306","6.4385","0.91"
"Jul 23, 2013","6.4459","6.4863","6.4933","6.4385","-0.66"
"Jul 22, 2013","6.4884","6.5250","6.5434","6.4695","-0.73"
"Jul 19, 2013","6.5358","6.5701","6.5801","6.5249","-0.58"
"Jul 18, 2013","6.5738","6.5668","6.6069","6.5585","0.14"
"Jul 17, 2013","6.5644","6.5786","6.6114","6.5371","-0.26"
"Jul 16, 2013","6.5818","6.6746","6.6821","6.5748","-1.44"
"Jul 15, 2013","6.6778","6.6510","6.7164","6.6480","0.21"
"Jul 12, 2013","6.6636","6.6558","6.6979","6.6452","0.09"
"Jul 11, 2013","6.6573","6.7082","6.7154","6.5994","-0.78"
"Jul 10, 2013","6.7097","6.7891","6.8130","6.7039","-1.23"
"Jul 09, 2013","6.7932","6.7757","6.8304","6.7512","0.24"
"Jul 08, 2013","6.7771","6.7900","6.8655","6.7649","-0.24"
"Jul 05, 2013","6.7935","6.6725","6.8192","6.6650","1.79"
"Jul 04, 2013","6.6740","6.6866","6.7310","6.6609","-0.22"
"Jul 03, 2013","6.6887","6.7230","6.7675","6.6671","-0.55"
"Jul 02, 2013","6.7255","6.6667","6.7324","6.6508","0.85"
"Jul 01, 2013","6.6689","6.6900","6.7143","6.6496","-0.53"
"Jun 28, 2013","6.7045","6.7301","6.7593","6.6899","-0.55"
"Jun 27, 2013","6.7414","6.7515","6.7681","6.6958","-0.18"
"Jun 26, 2013","6.7533","6.7102","6.7590","6.6683","0.55"
"Jun 25, 2013","6.7162","6.7619","6.7725","6.6625","-0.70"
"Jun 24, 2013","6.7634","6.6670","6.8012","6.6627","1.33"
"Jun 21, 2013","6.6745","6.5671","6.7079","6.5362","1.59"
"Jun 20, 2013","6.5701","6.4525","6.6120","6.4480","1.77"
"Jun 19, 2013","6.4556","6.4421","6.4626","6.3750","0.21"
"Jun 18, 2013","6.4422","6.4602","6.5098","6.4299","-0.29"
"Jun 17, 2013","6.4611","6.4361","6.4858","6.4289","0.39"
"Jun 14, 2013","6.4360","6.4724","6.4990","6.4284","-0.61"
"Jun 13, 2013","6.4757","6.5123","6.5320","6.4707","-0.58"
"Jun 12, 2013","6.5138","6.5479","6.5603","6.4817","-0.55"
"Jun 11, 2013","6.5497","6.5750","6.6192","6.5451","-0.45"
"Jun 10, 2013","6.5793","6.5480","6.6125","6.5480","0.34"
"Jun 07, 2013","6.5567","6.5405","6.5885","6.5244","0.20"
"Jun 06, 2013","6.5439","6.5860","6.6047","6.5092","-0.70"
"Jun 05, 2013","6.5897","6.5580","6.6091","6.5456","0.43"
"Jun 04, 2013","6.5614","6.5367","6.5759","6.5329","0.33"
"Jun 03, 2013","6.5400","6.6110","6.6298","6.5260","-1.18"
"May 31, 2013","6.6184","6.5588","6.6524","6.5510","0.88"
"May 30, 2013","6.5609","6.6468","6.6571","6.5536","-1.34"
"May 29, 2013","6.6502","6.7216","6.7274","6.6201","-1.06"
"May 28, 2013","6.7213","6.6428","6.7241","6.6292","1.24"
"May 27, 2013","6.6390","6.6380","6.6522","6.6300","-0.02"
"May 24, 2013","6.6405","6.6428","6.6737","6.6196","-0.09"
"May 23, 2013","6.6468","6.6399","6.6826","6.6263","0.08"
"May 22, 2013","6.6414","6.6138","6.6495","6.5645","0.40"
"May 21, 2013","6.6149","6.6564","6.6756","6.6033","-0.59"
"May 20, 2013","6.6541","6.6910","6.7041","6.6422","-0.59"
"May 17, 2013","6.6934","6.6714","6.7075","6.6505","0.33"
"May 16, 2013","6.6714","6.6705","6.6878","6.6305","-0.01"
"May 15, 2013","6.6722","6.6646","6.6974","6.6550","0.07"
"May 14, 2013","6.6678","6.6090","6.6776","6.5778","0.85"
"May 13, 2013","6.6117","6.5910","6.6222","6.5801","0.26"
"May 10, 2013","6.5945","6.5516","6.6254","6.5360","0.59"
"May 09, 2013","6.5558","6.5048","6.5691","6.4730","0.71"
"May 08, 2013","6.5097","6.5310","6.5363","6.4755","-0.37"
"May 07, 2013","6.5342","6.5467","6.5584","6.4923","-0.22"
"May 06, 2013","6.5483","6.5026","6.5503","6.4870","0.71"
"May 03, 2013","6.5020","6.5400","6.5485","6.4667","-0.56"
"May 02, 2013","6.5388","6.4654","6.5450","6.4575","1.10"
"May 01, 2013","6.4676","6.4794","6.4929","6.4215","-0.22"
"Apr 30, 2013","6.4818","6.5357","6.5630","6.4564","-0.85"
"Apr 29, 2013","6.5375","6.5646","6.5665","6.5163","-0.54"
"Apr 26, 2013","6.5731","6.6015","6.6142","6.5589","-0.45"
"Apr 25, 2013","6.6030","6.6172","6.6199","6.5609","-0.24"
"Apr 24, 2013","6.6187","6.6437","6.6570","6.5862","-0.43"
"Apr 23, 2013","6.6470","6.5262","6.6505","6.5190","1.79"
"Apr 22, 2013","6.5298","6.5280","6.5450","6.5053","-0.11"
"Apr 19, 2013","6.5368","6.5360","6.5509","6.4802","-0.01"
"Apr 18, 2013","6.5376","6.5145","6.5489","6.4882","0.34"
"Apr 17, 2013","6.5157","6.3609","6.5236","6.3490","2.39"
"Apr 16, 2013","6.3633","6.4235","6.4300","6.3402","-0.96"
"Apr 15, 2013","6.4253","6.3420","6.4327","6.3420","1.13"
"Apr 12, 2013","6.3538","6.3504","6.3944","6.3320","0.00"
"Apr 11, 2013","6.3537","6.3947","6.4106","6.3247","-0.72"
"Apr 10, 2013","6.3995","6.3868","6.4020","6.3552","0.16"
"Apr 09, 2013","6.3891","6.4180","6.4355","6.3792","-0.48"
"Apr 08, 2013","6.4200","6.4530","6.4619","6.3976","-0.49"
"Apr 05, 2013","6.4515","6.5158","6.5328","6.4295","-1.03"
"Apr 04, 2013","6.5184","6.5032","6.5902","6.4985","0.18"
"Apr 03, 2013","6.5066","6.4875","6.5106","6.4782","0.24"
"Apr 02, 2013","6.4910","6.5123","6.5192","6.4651","-0.38"
"Apr 01, 2013","6.5155","6.5140","6.5477","6.4995","-0.17"
"Mar 29, 2013","6.5263","6.5133","6.5428","6.5031","0.09"
"Mar 28, 2013","6.5206","6.5151","6.5408","6.4870","0.03"
"Mar 27, 2013","6.5188","6.4885","6.5247","6.4643","0.44"
"Mar 26, 2013","6.4900","6.5241","6.5267","6.4692","-0.53"
"Mar 25, 2013","6.5245","6.4892","6.5479","6.4487","0.45"
"Mar 22, 2013","6.4954","6.4866","6.5300","6.4704","0.11"
"Mar 21, 2013","6.4881","6.4682","6.4996","6.4528","0.28"
"Mar 20, 2013","6.4701","6.4642","6.4771","6.4254","0.04"
"Mar 19, 2013","6.4672","6.4292","6.4808","6.4245","0.54"
"Mar 18, 2013","6.4326","6.4513","6.4652","6.4152","0.59"
"Mar 15, 2013","6.3946","6.4302","6.4429","6.3693","-0.60"
"Mar 14, 2013","6.4330","6.4249","6.4860","6.4120","0.09"
"Mar 13, 2013","6.4270","6.3537","6.4310","6.3279","1.10"
"Mar 12, 2013","6.3571","6.3879","6.4120","6.3429","-0.49"
