"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","1.2550","1.2551","1.2566","1.2530","-0.06"
"Nov 28, 2013","1.2558","1.2546","1.2564","1.2533","0.06"
"Nov 27, 2013","1.2551","1.2510","1.2567","1.2503","0.29"
"Nov 26, 2013","1.2515","1.2498","1.2547","1.2486","0.09"
"Nov 25, 2013","1.2504","1.2499","1.2537","1.2479","0.04"
"Nov 22, 2013","1.2499","1.2494","1.2527","1.2485","-0.01"
"Nov 21, 2013","1.2500","1.2462","1.2515","1.2457","0.29"
"Nov 20, 2013","1.2464","1.2430","1.2477","1.2420","0.23"
"Nov 19, 2013","1.2435","1.2456","1.2469","1.2420","-0.23"
"Nov 18, 2013","1.2464","1.2446","1.2474","1.2443","-0.02"
"Nov 15, 2013","1.2466","1.2470","1.2495","1.2445","-0.06"
"Nov 14, 2013","1.2474","1.2466","1.2489","1.2438","0.06"
"Nov 13, 2013","1.2466","1.2492","1.2498","1.2454","-0.26"
"Nov 12, 2013","1.2499","1.2483","1.2518","1.2469","0.09"
"Nov 11, 2013","1.2488","1.2468","1.2502","1.2456","0.14"
"Nov 08, 2013","1.2470","1.2446","1.2484","1.2409","0.14"
"Nov 07, 2013","1.2452","1.2421","1.2470","1.2406","0.19"
"Nov 06, 2013","1.2429","1.2418","1.2454","1.2406","0.04"
"Nov 05, 2013","1.2424","1.2421","1.2446","1.2401","-0.02"
"Nov 04, 2013","1.2426","1.2431","1.2444","1.2410","0.00"
"Nov 01, 2013","1.2426","1.2415","1.2443","1.2402","0.07"
"Oct 31, 2013","1.2417","1.2393","1.2424","1.2374","0.18"
"Oct 30, 2013","1.2395","1.2407","1.2426","1.2351","-0.13"
"Oct 29, 2013","1.2411","1.2371","1.2416","1.2364","0.32"
"Oct 28, 2013","1.2372","1.2353","1.2388","1.2346","0.11"
"Oct 25, 2013","1.2358","1.2370","1.2384","1.2348","-0.11"
"Oct 24, 2013","1.2372","1.2386","1.2397","1.2356","-0.13"
"Oct 23, 2013","1.2388","1.2349","1.2406","1.2336","0.23"
"Oct 22, 2013","1.2360","1.2409","1.2433","1.2345","-0.45"
"Oct 21, 2013","1.2416","1.2383","1.2420","1.2374","0.20"
"Oct 18, 2013","1.2391","1.2390","1.2406","1.2363","-0.03"
"Oct 17, 2013","1.2395","1.2428","1.2445","1.2384","-0.31"
"Oct 16, 2013","1.2434","1.2435","1.2464","1.2407","0.00"
"Oct 15, 2013","1.2434","1.2431","1.2440","1.2402","-0.03"
"Oct 14, 2013","1.2438","1.2446","1.2472","1.2426","-0.16"
"Oct 11, 2013","1.2458","1.2476","1.2496","1.2444","-0.19"
"Oct 10, 2013","1.2482","1.2494","1.2540","1.2468","-0.10"
"Oct 09, 2013","1.2495","1.2491","1.2524","1.2479","0.00"
"Oct 08, 2013","1.2495","1.2471","1.2507","1.2465","0.15"
"Oct 07, 2013","1.2476","1.2466","1.2494","1.2455","0.08"
"Oct 04, 2013","1.2466","1.2489","1.2490","1.2448","-0.20"
"Oct 03, 2013","1.2491","1.2480","1.2502","1.2460","0.05"
"Oct 02, 2013","1.2485","1.2514","1.2542","1.2478","-0.26"
"Oct 01, 2013","1.2518","1.2553","1.2564","1.2501","-0.32"
"Sep 30, 2013","1.2558","1.2555","1.2581","1.2534","-0.05"
"Sep 27, 2013","1.2564","1.2546","1.2568","1.2535","0.12"
"Sep 26, 2013","1.2549","1.2539","1.2561","1.2517","0.03"
"Sep 25, 2013","1.2545","1.2537","1.2573","1.2521","0.01"
"Sep 24, 2013","1.2544","1.2495","1.2558","1.2493","0.38"
"Sep 23, 2013","1.2497","1.2510","1.2536","1.2473","-0.14"
"Sep 20, 2013","1.2515","1.2462","1.2524","1.2443","0.38"
"Sep 19, 2013","1.2468","1.2463","1.2481","1.2416","0.02"
"Sep 18, 2013","1.2465","1.2591","1.2609","1.2457","-1.04"
"Sep 17, 2013","1.2596","1.2612","1.2645","1.2578","-0.17"
"Sep 16, 2013","1.2617","1.2677","1.2687","1.2585","-0.59"
"Sep 13, 2013","1.2692","1.2669","1.2712","1.2662","0.13"
"Sep 12, 2013","1.2675","1.2657","1.2689","1.2643","0.10"
"Sep 11, 2013","1.2662","1.2680","1.2707","1.2647","-0.20"
"Sep 10, 2013","1.2687","1.2686","1.2709","1.2671","-0.01"
"Sep 09, 2013","1.2688","1.2731","1.2757","1.2676","-0.41"
"Sep 06, 2013","1.2740","1.2805","1.2810","1.2724","-0.55"
"Sep 05, 2013","1.2811","1.2743","1.2812","1.2731","0.49"
"Sep 04, 2013","1.2748","1.2781","1.2788","1.2721","-0.30"
"Sep 03, 2013","1.2786","1.2732","1.2789","1.2710","0.38"
"Sep 02, 2013","1.2737","1.2731","1.2757","1.2715","-0.09"
"Aug 30, 2013","1.2749","1.2745","1.2769","1.2721","0.00"
"Aug 29, 2013","1.2749","1.2760","1.2791","1.2738","-0.13"
"Aug 28, 2013","1.2765","1.2822","1.2847","1.2756","-0.44"
"Aug 27, 2013","1.2822","1.2805","1.2854","1.2798","0.09"
"Aug 26, 2013","1.2810","1.2788","1.2819","1.2769","0.16"
"Aug 23, 2013","1.2790","1.2811","1.2824","1.2774","-0.20"
"Aug 22, 2013","1.2816","1.2836","1.2859","1.2796","-0.16"
"Aug 21, 2013","1.2836","1.2735","1.2838","1.2729","0.75"
"Aug 20, 2013","1.2740","1.2773","1.2799","1.2729","-0.27"
"Aug 19, 2013","1.2774","1.2693","1.2775","1.2689","0.56"
"Aug 16, 2013","1.2703","1.2686","1.2726","1.2672","0.11"
"Aug 15, 2013","1.2689","1.2696","1.2755","1.2667","-0.09"
"Aug 14, 2013","1.2701","1.2674","1.2721","1.2661","0.17"
"Aug 13, 2013","1.2679","1.2622","1.2679","1.2614","0.41"
"Aug 12, 2013","1.2627","1.2571","1.2629","1.2555","0.43"
"Aug 09, 2013","1.2573","1.2592","1.2616","1.2563","-0.19"
"Aug 08, 2013","1.2597","1.2667","1.2678","1.2583","-0.59"
"Aug 07, 2013","1.2672","1.2661","1.2693","1.2656","0.02"
"Aug 06, 2013","1.2669","1.2689","1.2693","1.2653","-0.18"
"Aug 05, 2013","1.2692","1.2706","1.2737","1.2657","-0.20"
"Aug 02, 2013","1.2717","1.2759","1.2767","1.2700","-0.37"
"Aug 01, 2013","1.2764","1.2703","1.2768","1.2694","0.44"
"Jul 31, 2013","1.2708","1.2705","1.2753","1.2692","0.00"
"Jul 30, 2013","1.2708","1.2666","1.2717","1.2655","0.29"
"Jul 29, 2013","1.2671","1.2631","1.2687","1.2618","0.22"
"Jul 26, 2013","1.2643","1.2641","1.2661","1.2616","0.02"
"Jul 25, 2013","1.2640","1.2672","1.2698","1.2629","-0.27"
"Jul 24, 2013","1.2674","1.2630","1.2699","1.2618","0.30"
"Jul 23, 2013","1.2636","1.2602","1.2676","1.2582","0.25"
"Jul 22, 2013","1.2605","1.2652","1.2667","1.2593","-0.47"
"Jul 19, 2013","1.2665","1.2667","1.2707","1.2625","0.01"
"Jul 18, 2013","1.2664","1.2608","1.2688","1.2590","0.40"
"Jul 17, 2013","1.2613","1.2585","1.2645","1.2563","0.18"
"Jul 16, 2013","1.2590","1.2616","1.2633","1.2576","-0.25"
"Jul 15, 2013","1.2621","1.2610","1.2682","1.2610","-0.02"
"Jul 12, 2013","1.2623","1.2586","1.2668","1.2572","0.25"
"Jul 11, 2013","1.2591","1.2708","1.2720","1.2580","-0.98"
"Jul 10, 2013","1.2715","1.2775","1.2792","1.2707","-0.51"
"Jul 09, 2013","1.2780","1.2782","1.2813","1.2755","-0.05"
"Jul 08, 2013","1.2787","1.2802","1.2859","1.2776","-0.22"
"Jul 05, 2013","1.2815","1.2729","1.2820","1.2724","0.64"
"Jul 04, 2013","1.2734","1.2726","1.2743","1.2698","0.02"
"Jul 03, 2013","1.2731","1.2715","1.2747","1.2689","0.11"
"Jul 02, 2013","1.2717","1.2634","1.2721","1.2624","0.62"
"Jul 01, 2013","1.2639","1.2685","1.2706","1.2628","-0.32"
"Jun 28, 2013","1.2680","1.2661","1.2692","1.2615","0.11"
"Jun 27, 2013","1.2666","1.2737","1.2745","1.2619","-0.58"
"Jun 26, 2013","1.2740","1.2685","1.2770","1.2675","0.39"
