"Date","Price","Open","High","Low","Change %"
"Nov 29, 2013","32.055","32.090","32.150","32.000","-0.11"
"Nov 28, 2013","32.090","32.070","32.230","32.060","-0.06"
"Nov 27, 2013","32.110","32.030","32.160","31.980","0.06"
"Nov 26, 2013","32.090","32.010","32.120","31.920","0.19"
"Nov 25, 2013","32.030","31.800","32.040","31.790","0.68"
"Nov 22, 2013","31.815","31.790","31.850","31.740","-0.05"
"Nov 21, 2013","31.830","31.670","31.830","31.670","0.35"
"Nov 20, 2013","31.720","31.570","31.730","31.560","0.32"
"Nov 19, 2013","31.620","31.560","31.620","31.530","0.09"
"Nov 18, 2013","31.590","31.570","31.600","31.480","-0.02"
"Nov 15, 2013","31.595","31.550","31.630","31.520","0.11"
"Nov 14, 2013","31.560","31.500","31.620","31.400","0.16"
"Nov 13, 2013","31.510","31.610","31.620","31.490","-0.38"
"Nov 12, 2013","31.630","31.600","31.650","31.510","-0.02"
"Nov 11, 2013","31.635","31.460","31.690","31.450","0.48"
"Nov 08, 2013","31.485","31.310","31.500","31.290","0.46"
"Nov 07, 2013","31.340","31.230","31.360","31.200","0.29"
"Nov 06, 2013","31.250","31.240","31.350","31.160","-0.13"
"Nov 05, 2013","31.290","31.260","31.330","31.200","0.02"
"Nov 04, 2013","31.285","31.170","31.340","31.160","0.27"
"Nov 01, 2013","31.200","31.160","31.240","31.100","0.11"
"Oct 31, 2013","31.165","31.050","31.190","31.030","0.19"
"Oct 30, 2013","31.105","31.020","31.120","31.000","0.13"
"Oct 29, 2013","31.065","31.030","31.150","30.960","0.03"
"Oct 28, 2013","31.055","31.020","31.100","31.010","0.11"
"Oct 25, 2013","31.020","31.120","31.160","30.990","-0.42"
"Oct 24, 2013","31.150","31.140","31.200","31.050","-0.11"
"Oct 23, 2013","31.185","31.010","31.190","30.940","0.48"
"Oct 22, 2013","31.035","31.140","31.190","31.000","-0.42"
"Oct 21, 2013","31.165","31.030","31.165","31.020","0.37"
"Oct 18, 2013","31.050","30.980","31.070","30.950","0.10"
"Oct 17, 2013","31.020","31.200","31.230","30.970","-0.69"
"Oct 16, 2013","31.235","31.260","31.340","31.190","-0.13"
"Oct 15, 2013","31.275","31.250","31.300","31.190","-0.02"
"Oct 14, 2013","31.280","31.270","31.350","31.240","0.00"
"Oct 11, 2013","31.280","31.320","31.350","31.200","-0.21"
"Oct 10, 2013","31.345","31.430","31.540","31.320","-0.24"
"Oct 09, 2013","31.420","31.350","31.480","31.310","0.11"
"Oct 08, 2013","31.385","31.340","31.420","31.290","0.03"
"Oct 07, 2013","31.375","31.250","31.400","31.240","0.34"
"Oct 04, 2013","31.270","31.220","31.350","31.200","-0.08"
"Oct 03, 2013","31.295","31.220","31.295","31.120","0.11"
"Oct 02, 2013","31.260","31.190","31.350","31.180","0.14"
"Oct 01, 2013","31.215","31.220","31.270","31.040","-0.08"
"Sep 30, 2013","31.240","31.300","31.450","31.200","-0.26"
"Sep 27, 2013","31.320","31.160","31.380","31.130","0.35"
"Sep 26, 2013","31.210","31.210","31.340","31.090","-0.16"
"Sep 25, 2013","31.260","31.300","31.460","31.200","-0.18"
"Sep 24, 2013","31.315","31.170","31.400","31.130","0.40"
"Sep 23, 2013","31.190","31.030","31.310","30.960","0.26"
"Sep 20, 2013","31.110","31.000","31.110","30.850","0.19"
"Sep 19, 2013","31.050","31.220","31.260","30.890","-0.72"
"Sep 18, 2013","31.275","31.690","31.760","31.240","-1.36"
"Sep 17, 2013","31.705","31.720","31.840","31.680","0.11"
"Sep 16, 2013","31.670","31.760","31.760","31.590","-0.53"
"Sep 13, 2013","31.840","31.650","31.910","31.650","0.62"
"Sep 12, 2013","31.645","31.890","31.890","31.560","-0.91"
"Sep 11, 2013","31.935","32.080","32.170","31.910","-0.64"
"Sep 10, 2013","32.140","32.050","32.180","32.010","0.11"
"Sep 09, 2013","32.105","32.230","32.330","32.080","-0.30"
"Sep 06, 2013","32.200","32.290","32.480","32.170","-0.40"
"Sep 05, 2013","32.330","32.150","32.330","32.070","0.53"
"Sep 04, 2013","32.160","32.130","32.240","32.110","-0.03"
"Sep 03, 2013","32.170","32.020","32.170","31.910","0.44"
"Sep 02, 2013","32.030","32.130","32.180","32.000","-0.34"
"Aug 30, 2013","32.140","32.070","32.170","31.990","0.03"
"Aug 29, 2013","32.130","32.180","32.250","32.100","-0.17"
"Aug 28, 2013","32.185","32.120","32.280","32.110","0.05"
"Aug 27, 2013","32.170","31.960","32.190","31.950","0.56"
"Aug 26, 2013","31.990","31.820","31.990","31.820","0.39"
"Aug 23, 2013","31.865","32.040","32.060","31.840","-0.52"
"Aug 22, 2013","32.030","31.860","32.170","31.860","0.50"
"Aug 21, 2013","31.870","31.610","31.870","31.610","0.79"
"Aug 20, 2013","31.620","31.380","31.720","31.360","0.75"
"Aug 19, 2013","31.385","31.230","31.390","31.220","0.32"
"Aug 16, 2013","31.285","31.220","31.320","31.210","0.00"
"Aug 15, 2013","31.285","31.220","31.320","31.200","0.11"
"Aug 14, 2013","31.250","31.230","31.330","31.230","-0.11"
"Aug 13, 2013","31.285","31.210","31.300","31.170","0.19"
"Aug 12, 2013","31.225","31.190","31.230","31.150","0.03"
"Aug 09, 2013","31.215","31.180","31.260","31.140","0.10"
"Aug 08, 2013","31.185","31.360","31.370","31.160","-0.68"
"Aug 07, 2013","31.400","31.360","31.500","31.350","0.03"
"Aug 06, 2013","31.390","31.330","31.450","31.310","0.06"
"Aug 05, 2013","31.370","31.260","31.370","31.220","0.24"
"Aug 02, 2013","31.295","31.300","31.420","31.220","-0.13"
"Aug 01, 2013","31.335","31.240","31.340","31.190","-0.06"
"Jul 31, 2013","31.355","31.240","31.380","31.240","0.30"
"Jul 30, 2013","31.260","31.140","31.290","31.140","0.37"
"Jul 29, 2013","31.145","31.100","31.200","31.050","0.10"
"Jul 26, 2013","31.115","30.980","31.150","30.980","0.18"
"Jul 25, 2013","31.060","30.980","31.120","30.980","0.18"
"Jul 24, 2013","31.005","30.890","31.040","30.800","0.21"
"Jul 23, 2013","30.940","30.900","30.960","30.850","0.03"
"Jul 22, 2013","30.930","31.010","31.010","30.900","-0.27"
"Jul 19, 2013","31.015","30.990","31.160","30.990","-0.06"
"Jul 18, 2013","31.035","30.970","31.090","30.870","0.08"
"Jul 17, 2013","31.010","31.010","31.080","31.000","-0.13"
"Jul 16, 2013","31.050","31.080","31.140","30.990","-0.21"
"Jul 15, 2013","31.115","31.110","31.220","31.060","-0.10"
"Jul 12, 2013","31.145","31.060","31.180","30.990","0.02"
"Jul 11, 2013","31.140","31.180","31.190","30.980","-0.34"
"Jul 10, 2013","31.245","31.190","31.280","31.160","0.06"
"Jul 09, 2013","31.225","31.380","31.450","31.180","-0.65"
"Jul 08, 2013","31.430","31.250","31.490","31.250","0.66"
"Jul 05, 2013","31.225","31.040","31.250","31.040","0.45"
"Jul 04, 2013","31.085","31.040","31.100","31.010","0.05"
"Jul 03, 2013","31.070","30.960","31.100","30.940","0.29"
"Jul 02, 2013","30.980","30.910","30.980","30.840","0.15"
"Jul 01, 2013","30.935","31.060","31.110","30.900","-0.66"
"Jun 28, 2013","31.140","31.110","31.210","30.910","-0.02"
"Jun 27, 2013","31.145","31.080","31.160","31.030","0.06"
"Jun 26, 2013","31.125","31.010","31.160","30.950","0.11"
