"_rowid","Currency__","Price","Price_Date","Return","Stamp"
"1","USD","0.776","2011-03-31 23:42:47","","2011-03-31 23:00:00"
"2","USD","0.77531","2011-04-01 00:21:41","-0.000889175257731918","2011-04-01 00:00:00"
"3","USD","0.7753","2011-04-01 03:25:40","-1.28980665799042e-05","2011-04-01 01:00:00"
"4","USD","0.7753","2011-04-01 03:25:40","0","2011-04-01 02:00:00"
"5","USD","0.7753","2011-04-01 03:25:40","0","2011-04-01 03:00:00"
"6","USD","0.7756","2011-04-01 04:45:34","0.000386946988262565","2011-04-01 04:00:00"
"7","USD","0.7899","2011-04-01 05:06:58","0.0184373388344509","2011-04-01 05:00:00"
"8","USD","0.7753","2011-04-01 06:02:01","-0.0184833523230789","2011-04-01 06:00:00"
"9","USD","0.78979","2011-04-01 08:30:27","0.018689539533084","2011-04-01 07:00:00"
"10","USD","0.78979","2011-04-01 08:30:27","0","2011-04-01 08:00:00"
"11","USD","0.7899","2011-04-01 09:15:26","0.000139277529469928","2011-04-01 09:00:00"
"12","USD","0.7899","2011-04-01 11:10:17","0","2011-04-01 10:00:00"
"13","USD","0.7899","2011-04-01 11:10:17","0","2011-04-01 11:00:00"
"14","USD","0.7899","2011-04-01 12:04:58","0","2011-04-01 12:00:00"
"15","USD","0.7949","2011-04-01 13:31:30","0.00632991517913661","2011-04-01 13:00:00"
"16","USD","0.7775","2011-04-01 14:03:30","-0.0218895458548246","2011-04-01 14:00:00"
"17","USD","0.7899","2011-04-01 15:32:37","0.0159485530546625","2011-04-01 15:00:00"
"18","USD","0.77411","2011-04-01 16:27:11","-0.0199898721357135","2011-04-01 16:00:00"
"19","USD","0.775","2011-04-01 17:18:42","0.0011497074059243","2011-04-01 17:00:00"
"20","USD","0.785","2011-04-01 18:10:08","0.0129032258064516","2011-04-01 18:00:00"
"21","USD","0.789","2011-04-01 19:17:31","0.00509554140127389","2011-04-01 19:00:00"
"22","USD","0.789","2011-04-01 20:55:34","0","2011-04-01 20:00:00"
"23","USD","0.789","2011-04-01 21:27:48","0","2011-04-01 21:00:00"
"24","USD","0.79451","2011-04-01 22:00:05","0.00698352344740179","2011-04-01 22:00:00"
"25","USD","0.7799","2011-04-01 23:56:17","-0.018388692401606","2011-04-01 23:00:00"
"26","USD","0.7796","2011-04-02 00:16:08","-0.000384664700602741","2011-04-02 00:00:00"
"27","USD","0.7796","2011-04-02 01:27:54","0","2011-04-02 01:00:00"
"28","USD","0.79479","2011-04-02 02:53:15","0.0194843509492048","2011-04-02 02:00:00"
"29","USD","0.7965","2011-04-02 05:00:19","0.00215151172007699","2011-04-02 03:00:00"
"30","USD","0.7965","2011-04-02 05:00:19","0","2011-04-02 04:00:00"
"31","USD","0.7965","2011-04-02 05:00:19","0","2011-04-02 05:00:00"
"32","USD","0.79659","2011-04-02 06:18:41","0.000112994350282529","2011-04-02 06:00:00"
"33","USD","0.7798","2011-04-02 08:21:47","-0.0210773421710039","2011-04-02 07:00:00"
"34","USD","0.7798","2011-04-02 08:21:47","0","2011-04-02 08:00:00"
"35","USD","0.7945","2011-04-02 09:24:53","0.018850987432675","2011-04-02 09:00:00"
"36","USD","0.78052","2011-04-02 10:41:04","-0.0175959723096287","2011-04-02 10:00:00"
"37","USD","0.79365","2011-04-02 11:10:34","0.0168221185876082","2011-04-02 11:00:00"
"38","USD","0.78052","2011-04-02 12:05:23","-0.0165438165438165","2011-04-02 12:00:00"
"39","USD","0.7965","2011-04-02 13:40:17","0.0204735304668682","2011-04-02 13:00:00"
"40","USD","0.7969","2011-04-02 14:14:38","0.000502197112366688","2011-04-02 14:00:00"
"41","USD","0.798","2011-04-02 15:12:49","0.00138034885180072","2011-04-02 15:00:00"
"42","USD","0.78199","2011-04-02 16:45:57","-0.0200626566416041","2011-04-02 16:00:00"
"43","USD","0.78199","2011-04-02 18:00:45","0","2011-04-02 17:00:00"
"44","USD","0.78199","2011-04-02 18:00:45","0","2011-04-02 18:00:00"
"45","USD","0.77991","2011-04-02 19:06:25","-0.00265988056113246","2011-04-02 19:00:00"
"46","USD","0.78199","2011-04-02 20:05:00","0.00266697439448138","2011-04-02 20:00:00"
"47","USD","0.777","2011-04-02 22:17:59","-0.00638115576925528","2011-04-02 21:00:00"
"48","USD","0.777","2011-04-02 22:17:59","0","2011-04-02 22:00:00"
"49","USD","0.7782","2011-04-03 01:40:42","0.00154440154440152","2011-04-02 23:00:00"
"50","USD","0.7782","2011-04-03 01:40:42","0","2011-04-03 00:00:00"
"51","USD","0.7782","2011-04-03 01:40:42","0","2011-04-03 01:00:00"
"52","USD","0.7771","2011-04-03 02:12:46","-0.00141351837573887","2011-04-03 02:00:00"
"53","USD","0.79188","2011-04-03 04:34:10","0.0190194312186334","2011-04-03 03:00:00"
"54","USD","0.79188","2011-04-03 04:34:10","0","2011-04-03 04:00:00"
"55","USD","0.79188","2011-04-03 07:10:49","0","2011-04-03 05:00:00"
"56","USD","0.79188","2011-04-03 07:10:49","0","2011-04-03 06:00:00"
"57","USD","0.79188","2011-04-03 07:10:49","0","2011-04-03 07:00:00"
"58","USD","0.79188","2011-04-03 08:37:37","0","2011-04-03 08:00:00"
"59","USD","0.7775","2011-04-03 09:58:48","-0.0181593170682427","2011-04-03 09:00:00"
"60","USD","0.79","2011-04-03 10:09:36","0.0160771704180065","2011-04-03 10:00:00"
"61","USD","0.78928","2011-04-03 11:02:09","-0.000911392405063359","2011-04-03 11:00:00"
"62","USD","0.788","2011-04-03 12:05:30","-0.00162173119805386","2011-04-03 12:00:00"
"63","USD","0.77989","2011-04-03 13:46:48","-0.0102918781725889","2011-04-03 13:00:00"
"64","USD","0.78","2011-04-03 14:00:04","0.000141045532062284","2011-04-03 14:00:00"
"65","USD","0.779","2011-04-03 16:42:48","-0.00128205128205128","2011-04-03 15:00:00"
"66","USD","0.779","2011-04-03 16:42:48","0","2011-04-03 16:00:00"
"67","USD","0.7784","2011-04-03 17:30:35","-0.000770218228498132","2011-04-03 17:00:00"
"68","USD","0.7781","2011-04-03 19:01:16","-0.000385405960945487","2011-04-03 18:00:00"
"69","USD","0.7781","2011-04-03 19:01:16","0","2011-04-03 19:00:00"
"70","USD","0.7547","2011-04-03 20:07:10","-0.0300732553656342","2011-04-03 20:00:00"
"71","USD","0.7206","2011-04-03 21:29:10","-0.0451835166291242","2011-04-03 21:00:00"
"72","USD","0.73501","2011-04-03 22:09:22","0.0199972245351097","2011-04-03 22:00:00"
"73","USD","0.6105","2011-04-03 23:01:47","-0.169399055795159","2011-04-03 23:00:00"
"74","USD","0.768","2011-04-04 01:29:30","0.257985257985258","2011-04-04 00:00:00"
"75","USD","0.768","2011-04-04 01:29:30","0","2011-04-04 01:00:00"
"76","USD","0.7","2011-04-04 02:47:41","-0.0885416666666667","2011-04-04 02:00:00"
"77","USD","0.6417","2011-04-04 03:51:22","-0.0832857142857142","2011-04-04 03:00:00"
"78","USD","0.7095","2011-04-04 04:02:09","0.105656848994857","2011-04-04 04:00:00"
"79","USD","0.6114","2011-04-04 05:13:49","-0.138266384778013","2011-04-04 05:00:00"
"80","USD","0.64","2011-04-04 06:13:49","0.0467778868171409","2011-04-04 06:00:00"
"81","USD","0.732","2011-04-04 07:08:41","0.14375","2011-04-04 07:00:00"
"82","USD","0.6998","2011-04-04 08:13:53","-0.0439890710382514","2011-04-04 08:00:00"
"83","USD","0.6671","2011-04-04 10:01:55","-0.0467276364675621","2011-04-04 09:00:00"
"84","USD","0.6671","2011-04-04 10:01:55","0","2011-04-04 10:00:00"
"85","USD","0.69897","2011-04-04 11:46:44","0.0477739469344925","2011-04-04 11:00:00"
"86","USD","0.69897","2011-04-04 12:03:48","0","2011-04-04 12:00:00"
"87","USD","0.7095","2011-04-04 13:01:50","0.0150650242499679","2011-04-04 13:00:00"
"88","USD","0.6776","2011-04-04 14:05:15","-0.0449612403100776","2011-04-04 14:00:00"
"89","USD","0.6874","2011-04-04 15:12:36","0.0144628099173554","2011-04-04 15:00:00"
"90","USD","0.68","2011-04-04 16:52:05","-0.0107652022112307","2011-04-04 16:00:00"
"91","USD","0.68","2011-04-04 17:07:12","0","2011-04-04 17:00:00"
"92","USD","0.6899","2011-04-04 18:12:00","0.0145588235294116","2011-04-04 18:00:00"
"93","USD","0.5999","2011-04-04 19:13:56","-0.130453688940426","2011-04-04 19:00:00"
"94","USD","0.6795","2011-04-04 20:39:42","0.132688781463577","2011-04-04 20:00:00"
"95","USD","0.673","2011-04-04 21:41:18","-0.00956585724797638","2011-04-04 21:00:00"
"96","USD","0.641","2011-04-04 22:12:53","-0.0475482912332838","2011-04-04 22:00:00"
"97","USD","0.643","2011-04-04 23:38:01","0.0031201248049922","2011-04-04 23:00:00"
"98","USD","0.625","2011-04-05 00:23:10","-0.0279937791601866","2011-04-05 00:00:00"
"99","USD","0.60001","2011-04-05 01:03:25","-0.0399839999999999","2011-04-05 01:00:00"
"100","USD","0.6","2011-04-05 02:06:07","-1.66663888936276e-05","2011-04-05 02:00:00"
"101","USD","0.6","2011-04-05 03:01:06","0","2011-04-05 03:00:00"
"102","USD","0.605","2011-04-05 04:19:31","0.00833333333333334","2011-04-05 04:00:00"
"103","USD","0.6002","2011-04-05 05:22:44","-0.0079338842975207","2011-04-05 05:00:00"
"104","USD","0.63","2011-04-05 06:02:20","0.0496501166277908","2011-04-05 06:00:00"
"105","USD","0.636","2011-04-05 07:00:45","0.00952380952380953","2011-04-05 07:00:00"
"106","USD","0.638","2011-04-05 08:15:47","0.00314465408805032","2011-04-05 08:00:00"
"107","USD","0.675","2011-04-05 09:31:59","0.0579937304075236","2011-04-05 09:00:00"
"108","USD","0.69","2011-04-05 10:12:50","0.0222222222222221","2011-04-05 10:00:00"
"109","USD","0.7","2011-04-05 11:16:05","0.0144927536231884","2011-04-05 11:00:00"
"110","USD","0.7127","2011-04-05 12:07:37","0.0181428571428572","2011-04-05 12:00:00"
"111","USD","0.7197","2011-04-05 13:09:13","0.00982180440578084","2011-04-05 13:00:00"
"112","USD","0.709","2011-04-05 14:10:52","-0.0148673058218703","2011-04-05 14:00:00"
"113","USD","0.7478","2011-04-05 15:02:45","0.0547249647390692","2011-04-05 15:00:00"
"114","USD","0.7207","2011-04-05 16:46:30","-0.0362396362663814","2011-04-05 16:00:00"
"115","USD","0.7477","2011-04-05 17:15:32","0.037463577077841","2011-04-05 17:00:00"
"116","USD","0.71","2011-04-05 18:05:44","-0.0504212919620169","2011-04-05 18:00:00"
"117","USD","0.716","2011-04-05 19:36:51","0.00845070422535212","2011-04-05 19:00:00"
"118","USD","0.71","2011-04-05 20:01:58","-0.00837988826815643","2011-04-05 20:00:00"
"119","USD","0.703","2011-04-05 21:00:46","-0.00985915492957747","2011-04-05 21:00:00"
"120","USD","0.703","2011-04-05 22:14:10","0","2011-04-05 22:00:00"
"121","USD","0.71","2011-04-05 23:00:16","0.00995732574679944","2011-04-05 23:00:00"
"122","USD","0.7406","2011-04-06 00:20:41","0.0430985915492959","2011-04-06 00:00:00"
"123","USD","0.7206","2011-04-06 01:35:07","-0.0270051309748853","2011-04-06 01:00:00"
"124","USD","0.71001","2011-04-06 02:15:56","-0.0146960865945046","2011-04-06 02:00:00"
"125","USD","0.695","2011-04-06 03:04:19","-0.0211405473162351","2011-04-06 03:00:00"
"126","USD","0.70199","2011-04-06 04:21:18","0.0100575539568346","2011-04-06 04:00:00"
"127","USD","0.7","2011-04-06 05:07:08","-0.00283479821649888","2011-04-06 05:00:00"
"128","USD","0.7099","2011-04-06 06:04:39","0.0141428571428572","2011-04-06 06:00:00"
"129","USD","0.7027","2011-04-06 07:01:23","-0.0101422735596563","2011-04-06 07:00:00"
"130","USD","0.7018","2011-04-06 08:08:50","-0.0012807741568237","2011-04-06 08:00:00"
"131","USD","0.72499","2011-04-06 09:36:27","0.0330436021658593","2011-04-06 09:00:00"
"132","USD","0.7025","2011-04-06 10:43:53","-0.0310211175326556","2011-04-06 10:00:00"
"133","USD","0.716","2011-04-06 11:31:12","0.0192170818505337","2011-04-06 11:00:00"
"134","USD","0.72799","2011-04-06 13:11:00","0.016745810055866","2011-04-06 12:00:00"
"135","USD","0.72799","2011-04-06 13:11:00","0","2011-04-06 13:00:00"
"136","USD","0.7299","2011-04-06 14:00:12","0.00262366241294519","2011-04-06 14:00:00"
"137","USD","0.73068","2011-04-06 15:14:22","0.00106863953966297","2011-04-06 15:00:00"
"138","USD","0.74","2011-04-06 16:21:37","0.0127552416926698","2011-04-06 16:00:00"
"139","USD","0.748","2011-04-06 17:56:27","0.0108108108108108","2011-04-06 17:00:00"
"140","USD","0.75","2011-04-06 18:13:03","0.00267379679144385","2011-04-06 18:00:00"
"141","USD","0.75","2011-04-06 19:22:13","0","2011-04-06 19:00:00"
"142","USD","0.74","2011-04-06 20:45:47","-0.0133333333333333","2011-04-06 20:00:00"
"143","USD","0.763","2011-04-06 21:42:47","0.0310810810810811","2011-04-06 21:00:00"
"144","USD","0.765","2011-04-06 22:05:48","0.00262123197903015","2011-04-06 22:00:00"
"145","USD","0.762","2011-04-06 23:08:36","-0.00392156862745098","2011-04-06 23:00:00"
"146","USD","0.764","2011-04-07 00:12:21","0.0026246719160105","2011-04-07 00:00:00"
"147","USD","0.7242","2011-04-07 01:18:35","-0.0520942408376964","2011-04-07 01:00:00"
"148","USD","0.7388","2011-04-07 02:02:09","0.0201601767467551","2011-04-07 02:00:00"
"149","USD","0.7429","2011-04-07 03:10:56","0.00554953979426095","2011-04-07 03:00:00"
"150","USD","0.7526","2011-04-07 04:01:53","0.0130569390227487","2011-04-07 04:00:00"
"151","USD","0.7328","2011-04-07 05:31:19","-0.0263087961732661","2011-04-07 05:00:00"
"152","USD","0.75279","2011-04-07 06:17:35","0.0272789301310043","2011-04-07 06:00:00"
"153","USD","0.7593","2011-04-07 07:06:01","0.00864783007213169","2011-04-07 07:00:00"
"154","USD","0.7405","2011-04-07 08:16:36","-0.0247596470433293","2011-04-07 08:00:00"
"155","USD","0.761","2011-04-07 09:11:37","0.0276839972991222","2011-04-07 09:00:00"
"156","USD","0.74346","2011-04-07 10:08:06","-0.0230486202365309","2011-04-07 10:00:00"
"157","USD","0.7675","2011-04-07 11:54:20","0.0323352971242568","2011-04-07 11:00:00"
"158","USD","0.7482","2011-04-07 12:21:11","-0.0251465798045602","2011-04-07 12:00:00"
"159","USD","0.7675","2011-04-07 13:18:06","0.0257952419139267","2011-04-07 13:00:00"
"160","USD","0.7699","2011-04-07 14:15:52","0.00312703583061898","2011-04-07 14:00:00"
"161","USD","0.7699","2011-04-07 15:14:11","0","2011-04-07 15:00:00"
"162","USD","0.7538","2011-04-07 16:28:40","-0.0209118067281465","2011-04-07 16:00:00"
"163","USD","0.7531","2011-04-07 17:20:37","-0.000928628283364333","2011-04-07 17:00:00"
"164","USD","0.7698","2011-04-07 18:01:41","0.0221750099588369","2011-04-07 18:00:00"
"165","USD","0.7849","2011-04-07 19:05:50","0.0196154845414393","2011-04-07 19:00:00"
"166","USD","0.79","2011-04-07 20:05:25","0.00649764301184863","2011-04-07 20:00:00"
