"_rowid","Currency__","Price","Price_Date","Return","Stamp"
"1","USD","0.93971","2011-03-01 00:00:53","","2011-03-01 00:00:00"
"2","USD","0.77531","2011-04-01 00:21:41","-0.174947590214002","2011-04-01 00:00:00"
"3","USD","3.7501","2011-05-01 00:42:00","3.83690394809818","2011-05-01 00:00:00"
"4","USD","8.73621","2011-06-01 00:00:28","1.3295938774966","2011-06-01 00:00:00"
"5","USD","16.34","2011-07-01 00:32:49","0.870376284452869","2011-07-01 00:00:00"
"6","USD","13.38961","2011-08-01 00:02:37","-0.180562423500612","2011-08-01 00:00:00"
"7","USD","8.15969","2011-09-01 00:02:50","-0.390595394488712","2011-09-01 00:00:00"
"8","USD","4.93","2011-10-01 00:04:26","-0.395810380051203","2011-10-01 00:00:00"
"9","USD","3.25986","2011-11-01 00:01:31","-0.338770791075051","2011-11-01 00:00:00"
"10","USD","3.02","2011-12-01 00:00:17","-0.0735798469872939","2011-12-01 00:00:00"
"11","USD","4.73","2012-01-01 00:00:22","0.566225165562914","2012-01-01 00:00:00"
"12","USD","5.52158","2012-02-01 00:00:29","0.167353065539112","2012-02-01 00:00:00"
"13","USD","4.94941","2012-03-01 00:01:01","-0.10362432492149","2012-03-01 00:00:00"
"14","USD","4.85703","2012-04-01 00:00:37","-0.0186648509620339","2012-04-01 00:00:00"
"15","USD","3.12877","2012-05-01 00:00:00","-0.35582650302757","2012-05-01 00:00:00"
"16","USD","5.24395","2012-06-01 00:04:27","0.676042022903569","2012-06-01 00:00:00"
"17","USD","6.69174","2012-07-01 00:03:53","0.276087681995442","2012-07-01 00:00:00"
"18","USD","9.41","2012-08-01 00:00:21","0.406211239528135","2012-08-01 00:00:00"
"19","USD","10.0255","2012-09-01 00:01:06","0.0654091392136024","2012-09-01 00:00:00"
"20","USD","12.34001","2012-10-01 00:00:53","0.230862301132113","2012-10-01 00:00:00"
"21","USD","11.03038","2012-11-01 00:00:47","-0.106128763266805","2012-11-01 00:00:00"
"22","USD","12.6","2012-12-01 00:11:43","0.142299721315132","2012-12-01 00:00:00"
"23","USD","13.52025","2013-01-01 00:09:31","0.0730357142857144","2013-01-01 00:00:00"
"24","USD","21","2013-02-01 00:00:46","0.553225716980085","2013-02-01 00:00:00"
"25","USD","25.5987","2013-03-01 00:01:41","0.218985714285714","2013-03-01 00:00:00"
"26","USD","94.47997","2013-04-01 00:00:04","2.6908112521339","2013-04-01 00:00:00"
"27","USD","133.5","2013-05-01 00:00:00","0.412997908445568","2013-05-01 00:00:00"
"28","USD","98.74027","2013-06-01 00:00:04","-0.260372509363296","2013-06-01 00:00:00"
"29","USD","72.81009","2013-07-01 00:01:33","-0.262609976658966","2013-07-01 00:00:00"
"30","USD","106","2013-08-01 00:00:02","0.455842177917923","2013-08-01 00:00:00"
"31","USD","144.005","2013-09-01 00:03:27","0.358537735849057","2013-09-01 00:00:00"
"32","USD","143.70802","2013-10-01 00:04:22","-0.00206228950383661","2013-10-01 00:00:00"
"33","USD","212.2495","2013-11-01 00:02:32","0.476949581519528","2013-11-01 00:00:00"
